gene_id	gene_name	EV_1	EV_2	EV_3	KO_1	KO_2	KO_3	siCONTEV_1	siCONTEV_2	siCONTEV_3	siCONTKO_1	siCONTKO_2	siCONTKO_3	siINSEV_1	siINSEV_2	siINSEV_3	siINSKO_1	siINSKO_2	siINSKO_3
ENSG00000000003	TSPAN6	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	2752	2811.999	3606.001	3188.001	3145	2820	3081.001	3174.001	3821	3502	3951	4257	3000.001	3238	3612	2796.001	4346	4785
ENSG00000000457	SCYL3	763.999	912	1088	1203	1101.001	877	761	824	1032	997	1144	1065	765.999	910	983	846	1250	1120
ENSG00000000460	C1orf112	804	1101	1096	970	1020	855.999	1233.999	1093.999	1128	1712.001	1587	1466	964	879	973.999	1311.999	1530	1576
ENSG00000000938	FGR	1	0	0	3	0	2	2	0	3	0	2	0	3	8	1	0	4	5
ENSG00000000971	CFH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000001036	FUCA2	8505	8219	9488	9854	8545	6729	11553	9408	11587	16105	14604	14659	9639.001	8673	10004.001	11172	14121	15691
ENSG00000001084	GCLC	3202	3821.999	4181.001	3035.999	3019	2310.001	3439.001	4047.001	4252	2911.002	3390	3105	3705	4725.999	5315.999	2451	4142	3251.999
ENSG00000001167	NFYA	2645	3134	3344	2147	2224	1696	3100	3402	3520	2859	3162	2811	2445	3049	3348	2088	2961	2422
ENSG00000001460	STPG1	368	459	549.001	525	596	438	378.999	374	433	672.001	553.999	629.999	324	324	369	448.001	528.999	586
ENSG00000001461	NIPAL3	1844	1848	1958.999	2455	1910.001	1708	1920.001	1692	1971	1963	1854	1716	1573	1634.001	1805.999	1626	1783.999	1499.999
ENSG00000001497	LAS1L	1081	1413	1595	1534	1461	1187.999	1438	1552	1654	1757	1932	1818.001	1322	1717.001	1643	1485	1902	2311
ENSG00000001561	ENPP4	2814	2682	3309	3826	3159	2683	3264	2822	3056	2693	3326	3311	2791	2856	3327	2294	3990	2636
ENSG00000001617	SEMA3F	72	68	91	46	57	35	72	71	90	43	65	56	70	119	102	74	88	69
ENSG00000001626	CFTR	0	4	2	0	3	2	7	3	7	1	0	0	1	0	4	4	0	2
ENSG00000001629	ANKIB1	5371	5953	6569	8033	7128	6047	5969	5996	6402	6434.999	7646	7379.001	5696.001	6502.001	7050	5503	9016.999	5835.999
ENSG00000001630	CYP51A1	38008.982	38707.875	44361.592	71061.747	67045.041	55074.184	16712.997	16151.07	19367.677	31086.099	33835.97	31554.974	15119.982	16130.231	18414.985	22386.985	33667.32	26832.97
ENSG00000001631	KRIT1	2596.217	3114.844	3521.736	4377.609	4664.246	4030.614	2978.094	3059.81	3404.834	3715.853	5073.302	4727.973	2797.246	3410.064	3587.432	3180.742	5836.158	4901.568
ENSG00000002016	RAD52	592	828.079	698.999	620.222	735	497.002	530.091	667.126	565.999	598.001	731.01	593.16	538.999	669.104	640.999	436.043	777	614.076
ENSG00000002079	MYH16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330	BAD	804.999	1284	1219.999	1041.001	1295	999.001	1029	1322	1544.001	1575.999	1804.001	1624	902	1258	1198.001	1335	1512	2377
ENSG00000002549	LAP3	3020.999	3136.001	3931	2874.001	3077.001	2431.999	3620	3574	4307.001	3601	3832	3884.001	3538.001	3940	4130	3270	4209	4493
ENSG00000002586	CD99	17214.999	18244	20749.999	13055	11715.999	8814.999	19013.999	18258.999	21999.999	13797	12877	12220.001	18369.999	20335.999	20130.999	11404	12181.002	15279.999
ENSG00000002587	HS3ST1	155	126	186	69	61	65	167	128	144	89	88	96	139	153	125	82	100	134
ENSG00000002726	AOC1	823	611	477	314	190	176	1057	495	490	322	307	187	945	612	501	273	273	262
ENSG00000002745	WNT16	2	5	5	0	1	0	4	0	9	0	2	1	1	1	5	0	4	1
ENSG00000002746	HECW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002822	MAD1L1	387.001	496.001	480	345	411.999	287	374	476	495	442.001	571.001	420	422.001	527	530.001	447	575.001	756
ENSG00000002834	LASP1	7548	7712	8081	11527	10734.001	8192	7565	7058	8154	12585	11086	10250	6999	7667	7942.999	10923	11130	10898
ENSG00000002919	SNX11	908.999	1054.999	1037	1173	1198	790.999	1046	1132.999	1190.999	1454	1462	1340	845	1048.999	1006	1197.999	1373	1433
ENSG00000002933	TMEM176A	50.999	80	109	33	37	41	91.001	86.001	97.999	27	50	33	68	119	96	39	50.999	59
ENSG00000003056	M6PR	5668	6396.001	7582.999	5684	5724	4322	7898	7763.001	9154.001	8700	8472.999	8157.998	6113	6562	7152	5390	6566.001	6288
ENSG00000003096	KLHL13	0	0	1	2	0	0	3	8	2	0	0	0	1	0	1	0	3	0
ENSG00000003137	CYP26B1	1	6	18	3	3	0	15	12	6	4	2	2	11	7	14	3	2	3
ENSG00000003147	ICA1	1477.001	1603	1845.001	1666.001	1430	1153	1571.999	1691	2324.001	1379	1503	1379.001	1572	1942.999	2067	1071	1682.999	1724
ENSG00000003249	DBNDD1	1355	2112	2228	1455	1926	1237	1290	1814	2067.999	1548	1888.001	1568	1324.999	2475	2166	1536	1892.999	2525
