gene_id,gene_name,comparison,raw_log2FoldChange,raw_lfcSE,stat,pvalue,padj,shrunken_log2FoldChange,shrunken_lfcSE
ENSG00000001084,GCLC,EVsiINS_vs_EVsiCONT,0.3131302274777253,0.09394932810971691,3.3329693120534314,8.592441926251698e-4,0.04549471883057478,0.20950987524249096,0.11911894920790225
ENSG00000005513,SOX8,EVsiINS_vs_EVsiCONT,-0.8295554756688784,0.2102081039545416,-3.9463534471928514,7.935045304398386e-5,0.007295975526657054,-0.5362752937684843,0.25212900942096
ENSG00000006047,YBX2,EVsiINS_vs_EVsiCONT,0.7129824656584913,0.18999555788963166,3.752627027589048,1.7499111055258574e-4,0.013300879878534762,0.45813524568837954,0.23799592932832225
ENSG00000006468,ETV1,EVsiINS_vs_EVsiCONT,-0.49815464309587487,0.14365881152584617,-3.4676233069507894,5.250827777703379e-4,0.03124749986476214,-0.32138969367749504,0.18992060013213743
ENSG00000006576,PHTF2,EVsiINS_vs_EVsiCONT,0.334427983825271,0.0984347817963718,3.397457460891102,6.801516169589838e-4,0.037889097567532705,0.22784169384415445,0.1258779198921753
ENSG00000012223,LTF,EVsiINS_vs_EVsiCONT,-2.2244477477801117,0.6710688756151215,-3.3147830701298986,9.171426820503633e-4,0.04738662884720638,-0.11465832795565532,0.30714701341251316
ENSG00000013583,HEBP1,EVsiINS_vs_EVsiCONT,-0.497165113454648,0.09688073959666078,-5.131722936101366,2.871019051141601e-7,7.220612913621127e-5,-0.44921564556162846,0.1001012118759439
ENSG00000021645,NRXN3,EVsiINS_vs_EVsiCONT,0.693845174477132,0.13018294137057992,5.329770299950638,9.833706140922764e-8,2.9640038444962333e-5,0.6025266664633062,0.12730452855738103
ENSG00000036530,CYP46A1,EVsiINS_vs_EVsiCONT,-0.49990435801822586,0.1375153509580447,-3.635262205531834,2.776980438724956e-4,0.019305658318322844,-0.3515453273677409,0.17769616371877792
ENSG00000044574,HSPA5,EVsiINS_vs_EVsiCONT,-0.8786300173393414,0.08278508695816823,-10.613385207692275,2.5822050293206343e-26,1.4720290137147163e-22,-0.8365906753071116,0.08248315682316108
ENSG00000048740,CELF2,EVsiINS_vs_EVsiCONT,0.46441476854965785,0.13774497818656453,3.371554989980435,7.474511530963114e-4,0.040970864167477944,0.2891608129516917,0.1829907832311327
ENSG00000050405,LIMA1,EVsiINS_vs_EVsiCONT,-0.37243541898480736,0.10213435584559834,-3.6465243835075123,2.658112653282801e-4,0.01878472834563738,-0.2764311659750366,0.12903628397427486
ENSG00000051108,HERPUD1,EVsiINS_vs_EVsiCONT,-0.3451279094590558,0.06909218429783978,-4.99518017799658,5.878086172786041e-7,1.3055458406102192e-4,-0.3106121875784542,0.07569323143755963
ENSG00000053108,FSTL4,EVsiINS_vs_EVsiCONT,0.7292148894501878,0.15813176587405306,4.611438349654454,3.998922614796512e-6,5.895652979159479e-4,0.589103085935316,0.16154300839692873
ENSG00000064309,CDON,EVsiINS_vs_EVsiCONT,-0.4854845627603623,0.11756931168314708,-4.129347665730647,3.6379394464145245e-5,0.0038169349946368834,-0.3980244045668802,0.13661580104438323
ENSG00000065559,MAP2K4,EVsiINS_vs_EVsiCONT,0.2538203611749261,0.07675636030564421,3.306831644494504,9.435758273792082e-4,0.04845956096047813,0.17606728383675907,0.09309640377376838
ENSG00000070214,SLC44A1,EVsiINS_vs_EVsiCONT,-0.31434186699495487,0.08366794156395567,-3.757016858777054,1.7195091662946805e-4,0.013187016036758578,-0.2439392530005802,0.10028368756621958
ENSG00000070367,EXOC5,EVsiINS_vs_EVsiCONT,-0.5227528196381582,0.11303870099664899,-4.624547301314575,3.7541741036056313e-6,5.582946566944653e-4,-0.4535248514440798,0.12023158743660582
ENSG00000077713,SLC25A43,EVsiINS_vs_EVsiCONT,-0.4587898180468503,0.1167395610869756,-3.9300286361795873,8.493574547366369e-5,0.007645111153108402,-0.3626712977346438,0.1418345426967672
ENSG00000078804,TP53INP2,EVsiINS_vs_EVsiCONT,-0.43440665885174096,0.12109753426642006,-3.587246111023422,3.3418886717576497e-4,0.02194424037442012,-0.30864485677791803,0.15706191064563899
ENSG00000079308,TNS1,EVsiINS_vs_EVsiCONT,-0.8482320047762328,0.2355819233960509,-3.60058188059794,3.1750581796371704e-4,0.021294056858099954,-0.43025817883843853,0.2960187678387358
ENSG00000079459,FDFT1,EVsiINS_vs_EVsiCONT,0.2094718611923263,0.06255122025478492,3.3488053524631685,8.116079248177414e-4,0.04351134398192167,0.15531331066670373,0.07281562005672745
ENSG00000082146,STRADB,EVsiINS_vs_EVsiCONT,-0.573997044809325,0.10357178334959323,-5.542021448755708,2.98999670689187e-8,1.0653109100263493e-5,-0.5199135017762078,0.1028775765273691
ENSG00000083720,OXCT1,EVsiINS_vs_EVsiCONT,-0.4557018405275468,0.08104739694246334,-5.622658564235639,1.8804083118065395e-8,7.322513831970768e-6,-0.4228115361587401,0.08359389204069458
ENSG00000084636,COL16A1,EVsiINS_vs_EVsiCONT,-0.8101421388967768,0.2408878199172807,-3.3631511098193934,7.705817109184743e-4,0.041836471175008716,-0.3421820550581012,0.29441675026482744
ENSG00000086967,MYBPC2,EVsiINS_vs_EVsiCONT,-1.492582813320077,0.39114910059679786,-3.8158922289294814,1.3569172312082332e-4,0.010998103548873556,-0.43022385918393,0.43710030122950716
