gene_id,gene_name
ENSG00000006468,ETV1
ENSG00000013583,HEBP1
ENSG00000021645,NRXN3
ENSG00000044574,HSPA5
ENSG00000050405,LIMA1
ENSG00000064309,CDON
ENSG00000070214,SLC44A1
ENSG00000077713,SLC25A43
ENSG00000078804,TP53INP2
ENSG00000082146,STRADB
ENSG00000083720,OXCT1
ENSG00000088367,EPB41L1
ENSG00000088826,SMOX
ENSG00000089597,GANAB
ENSG00000090520,DNAJB11
ENSG00000099940,SNAP29
ENSG00000099958,DERL3
ENSG00000100027,YPEL1
ENSG00000100767,PAPLN
ENSG00000101347,SAMHD1
ENSG00000101438,SLC32A1
ENSG00000103319,EEF2K
ENSG00000103742,IGDCC4
ENSG00000103942,HOMER2
ENSG00000106868,SUSD1
ENSG00000108179,PPIF
ENSG00000108551,RASD1
ENSG00000108830,RND2
ENSG00000110536,PTPMT1
ENSG00000110665,C11orf21
ENSG00000111186,WNT5B
ENSG00000111305,GSG1
ENSG00000112139,MDGA1
ENSG00000112182,BACH2
ENSG00000112759,SLC29A1
ENSG00000117394,SLC2A1
ENSG00000118495,PLAGL1
ENSG00000120217,CD274
ENSG00000120278,PLEKHG1
ENSG00000120509,PDZD11
ENSG00000120992,LYPLA1
ENSG00000123091,RNF11
ENSG00000124493,GRM4
ENSG00000124831,LRRFIP1
ENSG00000125457,MIF4GD
ENSG00000125741,OPA3
ENSG00000125816,NKX2-4
ENSG00000125844,RRBP1
ENSG00000126767,ELK1
ENSG00000127022,CANX
ENSG00000128228,SDF2L1
ENSG00000129993,CBFA2T3
ENSG00000130703,OSBPL2
ENSG00000134333,LDHA
ENSG00000135821,GLUL
ENSG00000136731,UGGT1
ENSG00000136999,NOV
ENSG00000137168,PPIL1
ENSG00000137198,GMPR
ENSG00000137474,MYO7A
ENSG00000137575,SDCBP
ENSG00000138029,HADHB
ENSG00000138759,FRAS1
ENSG00000139641,ESYT1
ENSG00000141905,NFIC
ENSG00000143036,SLC44A3
ENSG00000143643,TTC13
ENSG00000143870,PDIA6
ENSG00000145050,MANF
ENSG00000145284,SCD5
ENSG00000145495,MARCH6
ENSG00000145604,SKP2
ENSG00000145626,UGT3A1
ENSG00000148123,PLPPR1
ENSG00000149428,HYOU1
ENSG00000152348,ATG10
ENSG00000152818,UTRN
ENSG00000152910,CNTNAP4
ENSG00000153789,FAM92B
ENSG00000154548,SRSF12
ENSG00000155465,SLC7A7
ENSG00000155660,PDIA4
ENSG00000161905,ALOX15
ENSG00000162545,CAMK2N1
ENSG00000163703,CRELD1
ENSG00000163818,LZTFL1
ENSG00000163902,RPN1
ENSG00000163932,PRKCD
ENSG00000165272,AQP3
ENSG00000165912,PACSIN3
ENSG00000166016,ABTB2
ENSG00000166598,HSP90B1
ENSG00000166770,ZNF667-AS1
ENSG00000166900,STX3
ENSG00000167004,PDIA3
ENSG00000167461,RAB8A
ENSG00000169291,SHE
ENSG00000171055,FEZ2
ENSG00000171234,UGT2B7
ENSG00000171303,KCNK3
ENSG00000171314,PGAM1
ENSG00000172201,ID4
ENSG00000173567,ADGRF3
ENSG00000175029,CTBP2
ENSG00000175197,DDIT3
ENSG00000176381,PRR18
ENSG00000176438,SYNE3
ENSG00000178473,UCN3
ENSG00000178951,ZBTB7A
ENSG00000178980,SELENOW
ENSG00000179218,CALR
ENSG00000179523,EIF3J-DT
ENSG00000180190,TDRP
ENSG00000180979,LRRC57
ENSG00000183722,LHFPL6
ENSG00000183831,ANKRD45
ENSG00000184164,CRELD2
ENSG00000184979,USP18
ENSG00000188070,C11orf95
ENSG00000189409,MMP23B
ENSG00000196739,COL27A1
ENSG00000196932,TMEM26
ENSG00000196975,ANXA4
ENSG00000198363,ASPH
ENSG00000198729,PPP1R14C
ENSG00000198843,SELENOT
ENSG00000205978,NYNRIN
ENSG00000213853,EMP2
ENSG00000214562,NUTM2D
ENSG00000214575,CPEB1
ENSG00000219438,FAM19A5
ENSG00000237289,CKMT1B
ENSG00000249715,FER1L5
ENSG00000254647,INS
ENSG00000256925,ADGRA1-AS1
ENSG00000261801,LOXL1-AS1
