"collection","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",4.95038032879809e-11,9.15820360827646e-09,0.851339057116899,0.787385438231585,2.40173416784569,55,"ENSG00000171234;ENSG00000197888;ENSG00000197448;ENSG00000198610;ENSG00000138109;ENSG00000165841;ENSG00000100577;ENSG00000143819;ENSG00000172955;ENSG00000085871;ENSG00000196139;ENSG00000135220;ENSG00000065621;ENSG00000170899;ENSG00000197894;ENSG00000134202;ENSG00000160868;ENSG00000160870;ENSG00000148834;ENSG00000168765;ENSG00000196620;ENSG00000084207;ENSG00000143198;ENSG00000108242;ENSG00000156096"
"KEGG","KEGG_DNA_REPLICATION",2.84121018893464e-09,1.31405971238227e-07,0.774939030136436,0.819669087692276,2.31116531276343,36,"ENSG00000101868;ENSG00000106028;ENSG00000198056;ENSG00000166508;ENSG00000104738;ENSG00000148229;ENSG00000132646;ENSG00000112118;ENSG00000076003;ENSG00000136104;ENSG00000106628;ENSG00000014138;ENSG00000049541;ENSG00000175482;ENSG00000104889;ENSG00000106399;ENSG00000100479;ENSG00000168496;ENSG00000115350;ENSG00000100297;ENSG00000146143;ENSG00000073111;ENSG00000177084;ENSG00000117748;ENSG00000163918;ENSG00000077514;ENSG00000138346;ENSG00000035928;ENSG00000133119;ENSG00000132383;ENSG00000172922"
"KEGG","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",2.56090476711655e-09,1.31405971238227e-07,0.774939030136436,0.765248658690177,2.30274443577359,51,"ENSG00000171234;ENSG00000197888;ENSG00000197448;ENSG00000138109;ENSG00000165841;ENSG00000100577;ENSG00000172955;ENSG00000085871;ENSG00000135220;ENSG00000065621;ENSG00000170899;ENSG00000197894;ENSG00000134202;ENSG00000160868;ENSG00000160870;ENSG00000148834;ENSG00000168765;ENSG00000196620;ENSG00000084207;ENSG00000143198;ENSG00000108242;ENSG00000156096"
"KEGG","KEGG_PYRIMIDINE_METABOLISM",2.16561097835006e-09,1.31405971238227e-07,0.774939030136436,0.647066377550342,2.17211469408083,98,"ENSG00000135318;ENSG00000198805;ENSG00000101868;ENSG00000198056;ENSG00000171793;ENSG00000164978;ENSG00000148229;ENSG00000176890;ENSG00000106628;ENSG00000047230;ENSG00000014138;ENSG00000188641;ENSG00000137054;ENSG00000005075;ENSG00000205309;ENSG00000187097;ENSG00000134326;ENSG00000171848;ENSG00000175482;ENSG00000243678;ENSG00000125877;ENSG00000168002;ENSG00000100479;ENSG00000115350;ENSG00000161980;ENSG00000130717;ENSG00000167900;ENSG00000121851;ENSG00000239672;ENSG00000100413;ENSG00000163882;ENSG00000146143;ENSG00000167325;ENSG00000177084;ENSG00000188833;ENSG00000102967;ENSG00000168495;ENSG00000114491;ENSG00000166548;ENSG00000128951;ENSG00000077514;ENSG00000156136;ENSG00000084774;ENSG00000125458;ENSG00000168393;ENSG00000113356;ENSG00000129187;ENSG00000171453;ENSG00000147853;ENSG00000100142;ENSG00000143179;ENSG00000184470;ENSG00000103024;ENSG00000162368;ENSG00000013503;ENSG00000025708;ENSG00000094841;ENSG00000171302;ENSG00000122643;ENSG00000228049;ENSG00000186184"
"KEGG","KEGG_DRUG_METABOLISM_OTHER_ENZYMES",7.40114848866099e-08,2.67211497199175e-06,0.704975715167238,0.76962385350965,2.20988864397893,40,"ENSG00000171234;ENSG00000197888;ENSG00000178035;ENSG00000171428;ENSG00000106348;ENSG00000135220;ENSG00000188641;ENSG00000160868;ENSG00000160870;ENSG00000163655;ENSG00000125877;ENSG00000165704;ENSG00000130717;ENSG00000167900;ENSG00000196620;ENSG00000156096;ENSG00000114491;ENSG00000166548;ENSG00000213759;ENSG00000143179;ENSG00000109181;ENSG00000025708"
"KEGG","KEGG_RETINOL_METABOLISM",8.66631882808136e-08,2.67211497199175e-06,0.704975715167238,0.738626287173826,2.20174615441196,48,"ENSG00000171234;ENSG00000197888;ENSG00000138109;ENSG00000165841;ENSG00000172955;ENSG00000062282;ENSG00000135220;ENSG00000135437;ENSG00000197894;ENSG00000006757;ENSG00000042445;ENSG00000160868;ENSG00000160870;ENSG00000072042;ENSG00000187630;ENSG00000157326;ENSG00000196620;ENSG00000108242;ENSG00000135697;ENSG00000156096;ENSG00000185000"
"KEGG","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",3.25386504754838e-07,8.59950048280643e-06,0.674962860011025,-0.539794003158518,-1.7705425343646,224,"ENSG00000198785;ENSG00000213694;ENSG00000183454;ENSG00000113327;ENSG00000112964;ENSG00000139679;ENSG00000215644;ENSG00000152578;ENSG00000080644;ENSG00000124493;ENSG00000181104;ENSG00000133019;ENSG00000163873;ENSG00000116014;ENSG00000116329;ENSG00000010310;ENSG00000149295;ENSG00000148498;ENSG00000112164;ENSG00000138435;ENSG00000152822;ENSG00000117971;ENSG00000123901;ENSG00000080293;ENSG00000171517;ENSG00000168398;ENSG00000113749;ENSG00000083454;ENSG00000169836;ENSG00000102287;ENSG00000120251;ENSG00000004948;ENSG00000164251;ENSG00000176884;ENSG00000196689;ENSG00000151090;ENSG00000182256;ENSG00000179603;ENSG00000182771;ENSG00000268089;ENSG00000082556;ENSG00000178623;ENSG00000164082;ENSG00000196277;ENSG00000175344;ENSG00000171509;ENSG00000105737;ENSG00000010438;ENSG00000125510;ENSG00000168830;ENSG00000180720;ENSG00000144407;ENSG00000135124;ENSG00000164418;ENSG00000056291;ENSG00000101204;ENSG00000180616;ENSG00000006638;ENSG00000043591;ENSG00000101180;ENSG00000180210;ENSG00000169252;ENSG00000149403"
"KEGG","KEGG_CELL_CYCLE",7.2237370771722e-06,0.000167048919909607,0.610526878385931,0.528460626424849,1.83640158418671,125,"ENSG00000129757;ENSG00000214102;ENSG00000166508;ENSG00000164815;ENSG00000094804;ENSG00000145604;ENSG00000104738;ENSG00000133101;ENSG00000132646;ENSG00000164045;ENSG00000112118;ENSG00000076003;ENSG00000166949;ENSG00000112576;ENSG00000123374;ENSG00000101412;ENSG00000175305;ENSG00000129355;ENSG00000006634;ENSG00000101224;ENSG00000007968;ENSG00000128245;ENSG00000117399;ENSG00000093009;ENSG00000135476;ENSG00000100297;ENSG00000127564;ENSG00000183765;ENSG00000154473;ENSG00000166851;ENSG00000073111;ENSG00000085840;ENSG00000141552;ENSG00000145386;ENSG00000157456;ENSG00000149554;ENSG00000116478;ENSG00000164924;ENSG00000134057;ENSG00000135446;ENSG00000164611;ENSG00000147889;ENSG00000135679"
"KEGG","KEGG_STEROID_HORMONE_BIOSYNTHESIS",1.87161352053514e-05,0.000384720556998889,0.575610261071129,0.7025583977301,2.03011773504501,41,"ENSG00000171234;ENSG00000197888;ENSG00000198610;ENSG00000204228;ENSG00000196139;ENSG00000135220;ENSG00000132196;ENSG00000101846;ENSG00000128039;ENSG00000160868;ENSG00000160870;ENSG00000196620;ENSG00000156096"
"KEGG","KEGG_RIBOSOME",3.72302738818763e-05,0.000688760066814711,0.557332238758646,0.560946833222594,1.84936322094465,87,"ENSG00000171858;ENSG00000130255;ENSG00000168028;ENSG00000198755;ENSG00000112306;ENSG00000162244;ENSG00000161016;ENSG00000100316;ENSG00000147403;ENSG00000136942;ENSG00000110700;ENSG00000137154;ENSG00000149806;ENSG00000142937;ENSG00000144713;ENSG00000231500;ENSG00000118181;ENSG00000167526;ENSG00000188846;ENSG00000198034;ENSG00000174748;ENSG00000229117;ENSG00000140988;ENSG00000105640;ENSG00000182899;ENSG00000108298;ENSG00000166441;ENSG00000197728;ENSG00000149273;ENSG00000186468;ENSG00000197958;ENSG00000109475;ENSG00000131469;ENSG00000148303;ENSG00000037241;ENSG00000171863;ENSG00000265681;ENSG00000156482;ENSG00000172809;ENSG00000147604;ENSG00000138326;ENSG00000163682;ENSG00000198918;ENSG00000145425;ENSG00000213741;ENSG00000124614;ENSG00000134419;ENSG00000145592;ENSG00000165502;ENSG00000116251;ENSG00000177600;ENSG00000161970;ENSG00000172172;ENSG00000221983;ENSG00000071082;ENSG00000125691;ENSG00000089157;ENSG00000233927;ENSG00000143947;ENSG00000122406;ENSG00000142676;ENSG00000114391;ENSG00000122026"
