"collection","subcategory","pathway","n_genes"
"GO","GO:BP","GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",6
"GO","GO:BP","GOBP_2FE_2S_CLUSTER_ASSEMBLY",11
"GO","GO:BP","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",18
"GO","GO:BP","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",23
"GO","GO:BP","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",30
"GO","GO:BP","GOBP_4FE_4S_CLUSTER_ASSEMBLY",5
"GO","GO:BP","GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III",6
"GO","GO:BP","GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",5
"GO","GO:BP","GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION",10
"GO","GO:BP","GOBP_7_METHYLGUANOSINE_MRNA_CAPPING",8
"GO","GO:BP","GOBP_ACETATE_ESTER_TRANSPORT",9
"GO","GO:BP","GOBP_ACETYLCHOLINE_METABOLIC_PROCESS",7
"GO","GO:BP","GOBP_ACETYLCHOLINE_SECRETION",5
"GO","GO:BP","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",24
"GO","GO:BP","GOBP_ACETYL_COA_METABOLIC_PROCESS",43
"GO","GO:BP","GOBP_ACIDIC_AMINO_ACID_TRANSPORT",79
"GO","GO:BP","GOBP_ACID_SECRETION",43
"GO","GO:BP","GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",9
"GO","GO:BP","GOBP_ACROSOME_ASSEMBLY",41
"GO","GO:BP","GOBP_ACROSOME_REACTION",43
"GO","GO:BP","GOBP_ACTIN_CROSSLINK_FORMATION",14
"GO","GO:BP","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",147
"GO","GO:BP","GOBP_ACTIN_FILAMENT_BASED_PROCESS",853
"GO","GO:BP","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",9
"GO","GO:BP","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",179
"GO","GO:BP","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",60
"GO","GO:BP","GOBP_ACTIN_FILAMENT_NETWORK_FORMATION",14
"GO","GO:BP","GOBP_ACTIN_FILAMENT_ORGANIZATION",477
"GO","GO:BP","GOBP_ACTIN_FILAMENT_POLYMERIZATION",157
"GO","GO:BP","GOBP_ACTIN_FILAMENT_SEVERING",17
"GO","GO:BP","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",124
"GO","GO:BP","GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING",19
"GO","GO:BP","GOBP_ACTIN_NUCLEATION",59
"GO","GO:BP","GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY",7
"GO","GO:BP","GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION",187
"GO","GO:BP","GOBP_ACTION_POTENTIAL",185
"GO","GO:BP","GOBP_ACTION_POTENTIAL_PROPAGATION",12
"GO","GO:BP","GOBP_ACTIVATED_T_CELL_PROLIFERATION",50
