"collection","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK","HALLMARK_OXIDATIVE_PHOSPHORYLATION",9.92475660464768e-13,4.96237830232384e-11,0.910119734774459,0.545939423836639,2.21422522087903,200,"ENSG00000115317;ENSG00000143153;ENSG00000189043;ENSG00000072778;ENSG00000183648;ENSG00000267855;ENSG00000152234;ENSG00000100412;ENSG00000101365;ENSG00000171503;ENSG00000154723;ENSG00000241837;ENSG00000006695;ENSG00000156502;ENSG00000099624;ENSG00000164919;ENSG00000241468;ENSG00000111716;ENSG00000178741;ENSG00000168291;ENSG00000131143;ENSG00000178127;ENSG00000169021;ENSG00000213619;ENSG00000184076;ENSG00000166136;ENSG00000108528;ENSG00000100142;ENSG00000110717;ENSG00000167969;ENSG00000164258;ENSG00000215021;ENSG00000145494;ENSG00000090266;ENSG00000137547;ENSG00000099795;ENSG00000124172;ENSG00000139180;ENSG00000169020;ENSG00000128654;ENSG00000128524;ENSG00000179091;ENSG00000151729;ENSG00000155463;ENSG00000060971;ENSG00000132305;ENSG00000072506;ENSG00000100575;ENSG00000170906;ENSG00000105197;ENSG00000159199;ENSG00000126267;ENSG00000167792;ENSG00000143198;ENSG00000075415;ENSG00000111775;ENSG00000112695;ENSG00000130312;ENSG00000010256;ENSG00000117118;ENSG00000113013;ENSG00000127540;ENSG00000134809;ENSG00000150779;ENSG00000131495;ENSG00000174547;ENSG00000146701;ENSG00000116459;ENSG00000173660;ENSG00000138495;ENSG00000136003;ENSG00000004961;ENSG00000185883;ENSG00000087088;ENSG00000110955;ENSG00000128626;ENSG00000116898;ENSG00000165637;ENSG00000127184;ENSG00000164405;ENSG00000127884;ENSG00000135940;ENSG00000099800;ENSG00000115286;ENSG00000151366;ENSG00000065154;ENSG00000140983;ENSG00000127948;ENSG00000047249;ENSG00000109390;ENSG00000167315;ENSG00000135390;ENSG00000167283;ENSG00000140374;ENSG00000131269;ENSG00000091483;ENSG00000004779;ENSG00000073578;ENSG00000110435;ENSG00000148672;ENSG00000140740;ENSG00000119421;ENSG00000156467;ENSG00000175110;ENSG00000184983;ENSG00000078668;ENSG00000167468;ENSG00000131174;ENSG00000125356;ENSG00000181991;ENSG00000165629;ENSG00000176340;ENSG00000117410;ENSG00000104325;ENSG00000065518;ENSG00000005022;ENSG00000148290;ENSG00000075239;ENSG00000109519;ENSG00000091140"
"HALLMARK","HALLMARK_MYC_TARGETS_V2",1.43636852336785e-09,3.59092130841962e-08,0.788186810800237,0.695868845329652,2.34772469497422,58,"ENSG00000052749;ENSG00000120800;ENSG00000133316;ENSG00000162851;ENSG00000130810;ENSG00000167085;ENSG00000177192;ENSG00000053372;ENSG00000196497;ENSG00000156502;ENSG00000179958;ENSG00000112578;ENSG00000116649;ENSG00000100029;ENSG00000048162;ENSG00000136933;ENSG00000101361;ENSG00000105447;ENSG00000070814;ENSG00000174669;ENSG00000111641;ENSG00000114767;ENSG00000184967;ENSG00000144381;ENSG00000077348;ENSG00000136270;ENSG00000120158;ENSG00000179115;ENSG00000115541;ENSG00000181163;ENSG00000106305;ENSG00000076248;ENSG00000123545;ENSG00000132382;ENSG00000185238;ENSG00000001497;ENSG00000148840;ENSG00000173638;ENSG00000100297;ENSG00000124383"
"HALLMARK","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.52254720356529e-07,2.53757867260881e-06,0.690132458796796,-0.560288206826965,-2.06575473405535,113,"ENSG00000044574;ENSG00000149428;ENSG00000051108;ENSG00000166598;ENSG00000102580;ENSG00000143870;ENSG00000179218;ENSG00000172795;ENSG00000172071;ENSG00000134109;ENSG00000118217;ENSG00000100219;ENSG00000129128;ENSG00000112715;ENSG00000128590;ENSG00000197930;ENSG00000124783;ENSG00000100196;ENSG00000001167;ENSG00000135069;ENSG00000178607;ENSG00000128965;ENSG00000172216;ENSG00000065911;ENSG00000138674;ENSG00000059573;ENSG00000153879;ENSG00000145740;ENSG00000160691;ENSG00000115902;ENSG00000065485"
"HALLMARK","HALLMARK_MYC_TARGETS_V1",4.70321349115438e-07,5.87901686394297e-06,0.674962860011025,0.457092909615707,1.85388086034052,200,"ENSG00000090621;ENSG00000167085;ENSG00000178952;ENSG00000214026;ENSG00000111906;ENSG00000143436;ENSG00000161960;ENSG00000277791;ENSG00000083845;ENSG00000143321;ENSG00000124614;ENSG00000041357;ENSG00000171490;ENSG00000178741;ENSG00000239672;ENSG00000116649;ENSG00000134001;ENSG00000048162;ENSG00000149273;ENSG00000070756;ENSG00000096384;ENSG00000178035;ENSG00000145912;ENSG00000101361;ENSG00000100823;ENSG00000101182;ENSG00000126067;ENSG00000215021;ENSG00000196262;ENSG00000108561;ENSG00000114767;ENSG00000103035;ENSG00000179091;ENSG00000106028;ENSG00000109475;ENSG00000150753;ENSG00000130726;ENSG00000136045;ENSG00000188846;ENSG00000065427;ENSG00000144381;ENSG00000063177;ENSG00000114942;ENSG00000075415;ENSG00000106263;ENSG00000105618;ENSG00000204392;ENSG00000104131;ENSG00000138385;ENSG00000106588;ENSG00000099341;ENSG00000204628;ENSG00000183207;ENSG00000125870;ENSG00000089009;ENSG00000148229;ENSG00000171793;ENSG00000140988;ENSG00000143977;ENSG00000115541;ENSG00000181163;ENSG00000170142;ENSG00000100519;ENSG00000125743;ENSG00000106305;ENSG00000120438;ENSG00000130332;ENSG00000182481;ENSG00000110958;ENSG00000055130;ENSG00000115233;ENSG00000092199;ENSG00000004779;ENSG00000163468;ENSG00000115241;ENSG00000074201;ENSG00000078668;ENSG00000166508;ENSG00000166226;ENSG00000075914;ENSG00000115484;ENSG00000173692;ENSG00000099901;ENSG00000100353;ENSG00000105202;ENSG00000137154;ENSG00000142864;ENSG00000132341;ENSG00000205937;ENSG00000100297;ENSG00000100028;ENSG00000196591;ENSG00000177879;ENSG00000121022;ENSG00000116251"
"HALLMARK","HALLMARK_UV_RESPONSE_UP",4.36677164526224e-06,4.36677164526224e-05,0.610526878385931,0.462788620702024,1.82241465976692,156,"ENSG00000178980;ENSG00000165272;ENSG00000108179;ENSG00000163132;ENSG00000149925;ENSG00000004478;ENSG00000163932;ENSG00000173786;ENSG00000161011;ENSG00000154640;ENSG00000008735;ENSG00000111674;ENSG00000111181;ENSG00000204231;ENSG00000214026;ENSG00000128311;ENSG00000163882;ENSG00000211445;ENSG00000110721;ENSG00000124702;ENSG00000187094;ENSG00000130821;ENSG00000114859;ENSG00000116096;ENSG00000106244;ENSG00000100292;ENSG00000159388;ENSG00000131446;ENSG00000042753;ENSG00000162231;ENSG00000104267;ENSG00000128524;ENSG00000151729;ENSG00000060971;ENSG00000136943;ENSG00000175416;ENSG00000168439;ENSG00000115457;ENSG00000178719;ENSG00000092445;ENSG00000099804;ENSG00000106236;ENSG00000165916;ENSG00000169836;ENSG00000030110;ENSG00000148229;ENSG00000100906;ENSG00000115694;ENSG00000086061;ENSG00000147883;ENSG00000188486;ENSG00000172270;ENSG00000162772;ENSG00000127824;ENSG00000129596"
"HALLMARK","HALLMARK_MTORC1_SIGNALING",0.000211588221118913,0.00176323517599094,0.518848077743792,-0.407766725959587,-1.61681518952434,198,"ENSG00000044574;ENSG00000166598;ENSG00000127022;ENSG00000175197;ENSG00000134333;ENSG00000179218;ENSG00000003056;ENSG00000117394;ENSG00000164211;ENSG00000134109;ENSG00000128228;ENSG00000100219;ENSG00000163902;ENSG00000174437;ENSG00000197930;ENSG00000124783;ENSG00000198431;ENSG00000149485;ENSG00000116761;ENSG00000135069;ENSG00000115461;ENSG00000001630;ENSG00000135269;ENSG00000134107;ENSG00000065911;ENSG00000099194;ENSG00000163655;ENSG00000171848;ENSG00000256269;ENSG00000155561;ENSG00000159167;ENSG00000104687;ENSG00000117461;ENSG00000120686;ENSG00000228716;ENSG00000115902;ENSG00000132383;ENSG00000136628;ENSG00000180957;ENSG00000163738;ENSG00000278540;ENSG00000138768;ENSG00000151012;ENSG00000131389"
"HALLMARK","HALLMARK_DNA_REPAIR",0.000745888653726718,0.00503453442320334,0.477270815362862,0.400599652591137,1.57190327357063,150,"ENSG00000137575;ENSG00000139722;ENSG00000114491;ENSG00000125877;ENSG00000163882;ENSG00000103152;ENSG00000171453;ENSG00000106992;ENSG00000168061;ENSG00000239672;ENSG00000176428;ENSG00000115350;ENSG00000105656;ENSG00000166169;ENSG00000178035;ENSG00000139546;ENSG00000204356;ENSG00000114784;ENSG00000125458;ENSG00000100142;ENSG00000130706;ENSG00000166337;ENSG00000104221;ENSG00000148308;ENSG00000104884;ENSG00000188986;ENSG00000160948;ENSG00000185608;ENSG00000107223;ENSG00000101158;ENSG00000106290;ENSG00000100387;ENSG00000129562;ENSG00000196839;ENSG00000125651;ENSG00000138495;ENSG00000011007;ENSG00000183684;ENSG00000140307;ENSG00000272047;ENSG00000105258;ENSG00000172409;ENSG00000185527;ENSG00000128191;ENSG00000168002;ENSG00000103168;ENSG00000099817;ENSG00000121851;ENSG00000114956;ENSG00000103202;ENSG00000198931;ENSG00000176102;ENSG00000152669;ENSG00000120656;ENSG00000166548;ENSG00000066379;ENSG00000005075;ENSG00000167468;ENSG00000012061;ENSG00000196235;ENSG00000148290;ENSG00000147669;ENSG00000137947"
"HALLMARK","HALLMARK_XENOBIOTIC_METABOLISM",0.000805525507712535,0.00503453442320334,0.477270815362862,0.380036918722423,1.5312387896923,188,"ENSG00000088826;ENSG00000115738;ENSG00000106565;ENSG00000165795;ENSG00000205220;ENSG00000138207;ENSG00000144485;ENSG00000111181;ENSG00000100412;ENSG00000171503;ENSG00000213722;ENSG00000196365;ENSG00000090013;ENSG00000181019;ENSG00000137274;ENSG00000100417;ENSG00000101444;ENSG00000005469;ENSG00000099977;ENSG00000158828;ENSG00000197019;ENSG00000128683;ENSG00000151632;ENSG00000148834;ENSG00000100292;ENSG00000196139;ENSG00000135929;ENSG00000133027;ENSG00000109072;ENSG00000104267;ENSG00000132855;ENSG00000142657;ENSG00000065427;ENSG00000134575;ENSG00000132437;ENSG00000169738;ENSG00000100983;ENSG00000108602;ENSG00000139631;ENSG00000092969;ENSG00000108852;ENSG00000055955;ENSG00000141753;ENSG00000167642;ENSG00000050820;ENSG00000127948;ENSG00000110958;ENSG00000138356;ENSG00000134262;ENSG00000129596;ENSG00000135218;ENSG00000166743;ENSG00000133313;ENSG00000159228;ENSG00000146678;ENSG00000106853;ENSG00000163110;ENSG00000126522;ENSG00000001084;ENSG00000150787"
"HALLMARK","HALLMARK_PROTEIN_SECRETION",0.00351631980715646,0.0146118128389129,0.431707695803346,-0.44116764581849,-1.58984455168438,96,"ENSG00000003056;ENSG00000086598;ENSG00000170348;ENSG00000197081;ENSG00000102805;ENSG00000092531;ENSG00000054983;ENSG00000124198;ENSG00000138674;ENSG00000150961;ENSG00000163399;ENSG00000083097;ENSG00000164144;ENSG00000141198;ENSG00000095139;ENSG00000054523;ENSG00000085365;ENSG00000138768;ENSG00000117533;ENSG00000184432;ENSG00000165029;ENSG00000109572;ENSG00000143761;ENSG00000198964;ENSG00000132842;ENSG00000136193;ENSG00000006125;ENSG00000079950;ENSG00000074695;ENSG00000005893;ENSG00000108433;ENSG00000100030;ENSG00000122126;ENSG00000129083;ENSG00000242247;ENSG00000061987;ENSG00000107862;ENSG00000265808;ENSG00000105829"
"HALLMARK","HALLMARK_INFLAMMATORY_RESPONSE",0.00375234521575985,0.0146118128389129,0.326351610990907,-0.37640648551342,-1.46346257919172,170,"ENSG00000003989;ENSG00000177272;ENSG00000184588;ENSG00000078081;ENSG00000115604;ENSG00000110911;ENSG00000141506;ENSG00000121858;ENSG00000174437;ENSG00000110324;ENSG00000135503;ENSG00000139514;ENSG00000132334;ENSG00000123700;ENSG00000105976;ENSG00000010327;ENSG00000197405;ENSG00000136868;ENSG00000006210;ENSG00000275163;ENSG00000169248;ENSG00000054523;ENSG00000188404;ENSG00000137860;ENSG00000165029;ENSG00000131979;ENSG00000017260;ENSG00000064989;ENSG00000110436;ENSG00000122641"
"HALLMARK","HALLMARK_FATTY_ACID_METABOLISM",0.00379907133811735,0.0146118128389129,0.34452128726268,0.370964952056297,1.4556203899468,150,"ENSG00000149925;ENSG00000197747;ENSG00000072778;ENSG00000138796;ENSG00000167588;ENSG00000106605;ENSG00000111674;ENSG00000072210;ENSG00000165269;ENSG00000100412;ENSG00000101365;ENSG00000131471;ENSG00000171503;ENSG00000198130;ENSG00000137274;ENSG00000120437;ENSG00000147383;ENSG00000188690;ENSG00000160124;ENSG00000168291;ENSG00000100823;ENSG00000167969;ENSG00000156587;ENSG00000080824;ENSG00000065057;ENSG00000104267;ENSG00000183955;ENSG00000060971;ENSG00000072506;ENSG00000067064;ENSG00000117305;ENSG00000239900;ENSG00000119673;ENSG00000146701;ENSG00000170835;ENSG00000138698;ENSG00000065833;ENSG00000004961;ENSG00000180902;ENSG00000108602;ENSG00000240972;ENSG00000127884;ENSG00000136750;ENSG00000105679;ENSG00000169710;ENSG00000120694;ENSG00000167315;ENSG00000005187;ENSG00000091483;ENSG00000128245;ENSG00000135218;ENSG00000073578;ENSG00000166228;ENSG00000108515;ENSG00000159228;ENSG00000164024;ENSG00000150787;ENSG00000164120;ENSG00000089248;ENSG00000105607;ENSG00000025770;ENSG00000104325;ENSG00000100577;ENSG00000102172;ENSG00000091140;ENSG00000144724;ENSG00000126088;ENSG00000092010"
"HALLMARK","HALLMARK_G2M_CHECKPOINT",0.00318054256314312,0.0146118128389129,0.354819512103747,-0.366027631654258,-1.45328240863423,200,"ENSG00000164754;ENSG00000102974;ENSG00000117505;ENSG00000080839;ENSG00000091436;ENSG00000143179;ENSG00000120802;ENSG00000139514;ENSG00000184349;ENSG00000072501;ENSG00000106462;ENSG00000007168;ENSG00000109685;ENSG00000139618;ENSG00000138376;ENSG00000134138;ENSG00000161800;ENSG00000198176;ENSG00000112029;ENSG00000165392;ENSG00000075391;ENSG00000112062;ENSG00000163808;ENSG00000198900;ENSG00000198901;ENSG00000149503;ENSG00000136273;ENSG00000094804;ENSG00000138160;ENSG00000131747;ENSG00000166949;ENSG00000119318;ENSG00000141380;ENSG00000138182;ENSG00000053254;ENSG00000005007;ENSG00000112941;ENSG00000112739;ENSG00000136824;ENSG00000173473;ENSG00000123473;ENSG00000143995;ENSG00000136811;ENSG00000174371;ENSG00000090889;ENSG00000138778;ENSG00000158169;ENSG00000072571;ENSG00000136450;ENSG00000118007;ENSG00000113368;ENSG00000123080;ENSG00000097007;ENSG00000129315;ENSG00000110713;ENSG00000085999;ENSG00000007968;ENSG00000005156;ENSG00000148773;ENSG00000118412;ENSG00000014138;ENSG00000076003;ENSG00000097046;ENSG00000101945;ENSG00000142945;ENSG00000146143;ENSG00000083896;ENSG00000073111;ENSG00000137812;ENSG00000117650;ENSG00000104549;ENSG00000129351;ENSG00000164045;ENSG00000117724;ENSG00000185129"
"HALLMARK","HALLMARK_ADIPOGENESIS",0.00366920726738715,0.0146118128389129,0.431707695803346,0.359715159989928,1.45277746846472,194,"ENSG00000139641;ENSG00000175567;ENSG00000137824;ENSG00000149925;ENSG00000109113;ENSG00000151552;ENSG00000138796;ENSG00000147872;ENSG00000135424;ENSG00000170522;ENSG00000100412;ENSG00000128311;ENSG00000129625;ENSG00000123243;ENSG00000241837;ENSG00000198130;ENSG00000211445;ENSG00000250479;ENSG00000099977;ENSG00000122644;ENSG00000130304;ENSG00000213619;ENSG00000184076;ENSG00000137547;ENSG00000099795;ENSG00000133027;ENSG00000148343;ENSG00000179091;ENSG00000132305;ENSG00000120675;ENSG00000100075;ENSG00000177697;ENSG00000019144;ENSG00000143198;ENSG00000197150;ENSG00000164237;ENSG00000111775;ENSG00000173511;ENSG00000010256;ENSG00000136560;ENSG00000117118;ENSG00000127540;ENSG00000146701;ENSG00000065833;ENSG00000116717;ENSG00000164405;ENSG00000127884;ENSG00000163931;ENSG00000173153;ENSG00000142168;ENSG00000127948;ENSG00000183048;ENSG00000100347;ENSG00000167315;ENSG00000004779;ENSG00000135218;ENSG00000197885;ENSG00000138074;ENSG00000141232;ENSG00000150593;ENSG00000167468;ENSG00000131174;ENSG00000078061;ENSG00000150991;ENSG00000176340;ENSG00000104325;ENSG00000109519;ENSG00000091140;ENSG00000205726;ENSG00000173638;ENSG00000198355;ENSG00000084234;ENSG00000177156;ENSG00000111275;ENSG00000137992;ENSG00000174233;ENSG00000170027;ENSG00000156171;ENSG00000006831;ENSG00000143252;ENSG00000104823;ENSG00000042445;ENSG00000157184;ENSG00000156709;ENSG00000138073;ENSG00000099968;ENSG00000163541"
"HALLMARK","HALLMARK_ALLOGRAFT_REJECTION",0.00874759974397269,0.0312414276570453,0.22623238004642,0.349088798464318,1.3879511826164,167,"ENSG00000042493;ENSG00000104998;ENSG00000205220;ENSG00000126583;ENSG00000170889;ENSG00000105372;ENSG00000126759;ENSG00000239672;ENSG00000146648;ENSG00000198918;ENSG00000132507;ENSG00000164326;ENSG00000198821;ENSG00000100453;ENSG00000147889;ENSG00000113532;ENSG00000145425;ENSG00000104814;ENSG00000166313;ENSG00000204267;ENSG00000174842;ENSG00000153563;ENSG00000114686;ENSG00000104131;ENSG00000163682;ENSG00000087085;ENSG00000182866;ENSG00000181163;ENSG00000092969;ENSG00000105369;ENSG00000137462;ENSG00000185507;ENSG00000180210;ENSG00000095752;ENSG00000173762;ENSG00000000938"
"HALLMARK","HALLMARK_PANCREAS_BETA_CELLS",0.00991866693116445,0.0313457375711193,0.204544131818546,-0.517624178137497,-1.59737113873096,40,"ENSG00000254647;ENSG00000143627;ENSG00000150907;ENSG00000077279;ENSG00000135363;ENSG00000152254;ENSG00000019505;ENSG00000197635;ENSG00000106633;ENSG00000136854;ENSG00000111424;ENSG00000144867;ENSG00000163581;ENSG00000140612;ENSG00000162992;ENSG00000117020"
"HALLMARK","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0106575507741806,0.0313457375711193,0.198584486969905,0.489262057388478,1.59568997886663,48,"ENSG00000177556;ENSG00000117450;ENSG00000119383;ENSG00000211445;ENSG00000181019;ENSG00000103415;ENSG00000067057;ENSG00000087086;ENSG00000167815;ENSG00000271303;ENSG00000160211;ENSG00000104884;ENSG00000269858;ENSG00000115694;ENSG00000107438;ENSG00000142168;ENSG00000074706;ENSG00000184983;ENSG00000175806;ENSG00000001084;ENSG00000167468;ENSG00000065518"
"HALLMARK","HALLMARK_UV_RESPONSE_DN",0.0101649405446874,0.0313457375711193,0.198584486969905,-0.371431299462682,-1.40951894537269,142,"ENSG00000064309;ENSG00000196975;ENSG00000103222;ENSG00000117114;ENSG00000157540;ENSG00000083123;ENSG00000118482;ENSG00000139514;ENSG00000115461;ENSG00000134107;ENSG00000105976;ENSG00000171132;ENSG00000169047;ENSG00000049323;ENSG00000065883;ENSG00000131089;ENSG00000131711;ENSG00000131018;ENSG00000169715;ENSG00000117461;ENSG00000099250;ENSG00000164741;ENSG00000074416;ENSG00000115380;ENSG00000112062;ENSG00000108175;ENSG00000075711;ENSG00000070778;ENSG00000196876;ENSG00000143776;ENSG00000160145;ENSG00000088812;ENSG00000017260;ENSG00000156103;ENSG00000108821;ENSG00000166949;ENSG00000198718;ENSG00000162407;ENSG00000112941;ENSG00000187210;ENSG00000156113;ENSG00000078269;ENSG00000131788;ENSG00000109320;ENSG00000107779;ENSG00000198873"
"HALLMARK","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0116039678083474,0.032233243912076,0.183397180948084,-0.350264247136886,-1.38283756330373,190,"ENSG00000100234;ENSG00000171812;ENSG00000166794;ENSG00000115414;ENSG00000152377;ENSG00000084636;ENSG00000112715;ENSG00000053747;ENSG00000167460;ENSG00000113361;ENSG00000038427;ENSG00000170558;ENSG00000070087;ENSG00000065534;ENSG00000114270;ENSG00000135318;ENSG00000128595;ENSG00000101680;ENSG00000132561;ENSG00000114251;ENSG00000150093;ENSG00000163739;ENSG00000106823;ENSG00000164949;ENSG00000154096;ENSG00000122218;ENSG00000117385;ENSG00000166147;ENSG00000105664;ENSG00000134013;ENSG00000083444;ENSG00000070404;ENSG00000116260;ENSG00000082781;ENSG00000196924;ENSG00000087303;ENSG00000129038;ENSG00000187498;ENSG00000139278;ENSG00000166033;ENSG00000148848;ENSG00000182985;ENSG00000196569;ENSG00000122641;ENSG00000108821"
"HALLMARK","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0123832724319935,0.0325875590315619,0.184915881971771,0.423784820482054,1.48846511852493,73,"ENSG00000160200;ENSG00000163344;ENSG00000012171;ENSG00000079459;ENSG00000167508;ENSG00000163191;ENSG00000160752;ENSG00000110721;ENSG00000213366;ENSG00000120437;ENSG00000147383;ENSG00000131981;ENSG00000178445;ENSG00000105755;ENSG00000160285;ENSG00000131069;ENSG00000169136;ENSG00000067064;ENSG00000100600;ENSG00000110921;ENSG00000169710;ENSG00000010278;ENSG00000162772;ENSG00000184009;ENSG00000164687"
