"collection","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",1.56722915489665e-08,1.62686236565477e-06,0.73376198835648,0.732650885715605,2.32258909575097,49,"ENSG00000171234;ENSG00000165841;ENSG00000138109;ENSG00000197448;ENSG00000197888;ENSG00000172955;ENSG00000100577;ENSG00000085871;ENSG00000160870;ENSG00000134202;ENSG00000065621;ENSG00000170899;ENSG00000160868;ENSG00000197894;ENSG00000138356;ENSG00000135220;ENSG00000168765;ENSG00000084207;ENSG00000143198;ENSG00000196620;ENSG00000108242;ENSG00000156096;ENSG00000187758"
"KEGG","KEGG_RIBOSOME",1.89170042517997e-08,1.62686236565477e-06,0.73376198835648,0.628828641784772,2.20829481720092,87,"ENSG00000112306;ENSG00000162244;ENSG00000110700;ENSG00000100316;ENSG00000198034;ENSG00000109475;ENSG00000130255;ENSG00000144713;ENSG00000174748;ENSG00000198755;ENSG00000163682;ENSG00000071082;ENSG00000171858;ENSG00000161016;ENSG00000167526;ENSG00000265681;ENSG00000108298;ENSG00000145592;ENSG00000231500;ENSG00000147403;ENSG00000166441;ENSG00000142937;ENSG00000188846;ENSG00000161970;ENSG00000198918;ENSG00000186468;ENSG00000168028;ENSG00000145425;ENSG00000172809;ENSG00000182899;ENSG00000137154;ENSG00000156482;ENSG00000147604;ENSG00000118181;ENSG00000116251;ENSG00000197958;ENSG00000138326;ENSG00000149273;ENSG00000131469;ENSG00000125691;ENSG00000148303;ENSG00000105640;ENSG00000163584;ENSG00000122406;ENSG00000142676;ENSG00000197728;ENSG00000143947;ENSG00000171863;ENSG00000136942;ENSG00000177954;ENSG00000229117;ENSG00000124614;ENSG00000177600;ENSG00000233927;ENSG00000114391;ENSG00000213741;ENSG00000134419"
"KEGG","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",2.15959463722502e-07,1.23816759200901e-05,0.690132458796796,0.698078689600486,2.23075024706753,51,"ENSG00000171234;ENSG00000165841;ENSG00000138109;ENSG00000197448;ENSG00000198610;ENSG00000197888;ENSG00000172955;ENSG00000100577;ENSG00000085871;ENSG00000160870;ENSG00000134202;ENSG00000065621;ENSG00000143819;ENSG00000170899;ENSG00000160868;ENSG00000197894;ENSG00000135220;ENSG00000168765;ENSG00000084207;ENSG00000143198;ENSG00000196620;ENSG00000108242;ENSG00000156096;ENSG00000187758"
"KEGG","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",3.00807289380422e-06,0.000129347134433582,0.627256739718528,-0.524577391021831,-1.75002317574608,195,"ENSG00000170962;ENSG00000254647;ENSG00000115266;ENSG00000115414;ENSG00000077522;ENSG00000134215;ENSG00000138448;ENSG00000133019;ENSG00000160007;ENSG00000181104;ENSG00000154620;ENSG00000135424;ENSG00000145675;ENSG00000066468;ENSG00000160867;ENSG00000161958;ENSG00000141506;ENSG00000130669;ENSG00000136002;ENSG00000105357;ENSG00000138685;ENSG00000172380;ENSG00000076928;ENSG00000158186;ENSG00000154380;ENSG00000061676;ENSG00000145431;ENSG00000186298;ENSG00000150760;ENSG00000144668;ENSG00000146426;ENSG00000168398;ENSG00000145703;ENSG00000102606;ENSG00000138443;ENSG00000137710;ENSG00000273749;ENSG00000115020;ENSG00000163466;ENSG00000112290;ENSG00000139734;ENSG00000134853;ENSG00000169032;ENSG00000146648;ENSG00000114279;ENSG00000137843;ENSG00000117461;ENSG00000067900;ENSG00000103653;ENSG00000146535;ENSG00000150093;ENSG00000169750;ENSG00000182541;ENSG00000165410;ENSG00000181072;ENSG00000140575;ENSG00000070388;ENSG00000106683;ENSG00000133818;ENSG00000127084;ENSG00000077943;ENSG00000259207;ENSG00000143398;ENSG00000158815;ENSG00000140795;ENSG00000100485;ENSG00000123338;ENSG00000156427;ENSG00000133703;ENSG00000276293;ENSG00000134982;ENSG00000180720;ENSG00000113721;ENSG00000175866;ENSG00000115232;ENSG00000167193"
"KEGG","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",4.58630916773082e-06,0.00015776903536994,0.610526878385931,-0.512694337094511,-1.71569797631719,200,"ENSG00000198785;ENSG00000213694;ENSG00000113327;ENSG00000183454;ENSG00000080644;ENSG00000163873;ENSG00000139679;ENSG00000112964;ENSG00000152578;ENSG00000215644;ENSG00000133019;ENSG00000179603;ENSG00000181104;ENSG00000164082;ENSG00000152822;ENSG00000149295;ENSG00000124493;ENSG00000117971;ENSG00000116329;ENSG00000116014;ENSG00000268089;ENSG00000101180;ENSG00000083454;ENSG00000171517;ENSG00000112164;ENSG00000113749;ENSG00000123901;ENSG00000138435;ENSG00000176884;ENSG00000169836;ENSG00000182771;ENSG00000101204;ENSG00000056291;ENSG00000082556;ENSG00000168398;ENSG00000175344;ENSG00000102287;ENSG00000180616;ENSG00000125510;ENSG00000171509;ENSG00000120251;ENSG00000135124;ENSG00000080293;ENSG00000182256;ENSG00000169684;ENSG00000164251;ENSG00000198049;ENSG00000148498;ENSG00000164418;ENSG00000144407;ENSG00000151090;ENSG00000006638;ENSG00000043591;ENSG00000168830;ENSG00000163485;ENSG00000181072;ENSG00000113494"
"KEGG","KEGG_GAP_JUNCTION",7.8145767697965e-06,0.000224017867400833,0.593325476396405,-0.634802268085487,-1.92166783475225,85,"ENSG00000170962;ENSG00000087460;ENSG00000152402;ENSG00000061918;ENSG00000164116;ENSG00000121281;ENSG00000152822;ENSG00000149295;ENSG00000173175;ENSG00000167552;ENSG00000123104;ENSG00000137267;ENSG00000137285;ENSG00000176014;ENSG00000155897;ENSG00000183943;ENSG00000258947;ENSG00000145431;ENSG00000154229;ENSG00000127824;ENSG00000104067;ENSG00000196230;ENSG00000134853;ENSG00000126583;ENSG00000101333;ENSG00000170312;ENSG00000169032;ENSG00000146648;ENSG00000167553;ENSG00000043591;ENSG00000156052;ENSG00000137764;ENSG00000100485;ENSG00000133703;ENSG00000123416;ENSG00000113721"
"KEGG","KEGG_RETINOL_METABOLISM",1.51030525480967e-05,0.00037110357689609,0.593325476396405,0.667916057882377,2.06349074271256,43,"ENSG00000171234;ENSG00000165841;ENSG00000138109;ENSG00000006757;ENSG00000197888;ENSG00000172955;ENSG00000160870;ENSG00000160868;ENSG00000197894;ENSG00000072042;ENSG00000042445;ENSG00000062282;ENSG00000157326;ENSG00000135437;ENSG00000135220;ENSG00000187630;ENSG00000135697;ENSG00000196620;ENSG00000108242;ENSG00000156096;ENSG00000187758"
"KEGG","KEGG_DRUG_METABOLISM_OTHER_ENZYMES",3.67072780594225e-05,0.000765155566732118,0.557332238758646,0.682500736729435,2.06797294467622,39,"ENSG00000171234;ENSG00000197888;ENSG00000160870;ENSG00000178035;ENSG00000160868;ENSG00000171428;ENSG00000188641;ENSG00000106348;ENSG00000172831;ENSG00000114491;ENSG00000135220;ENSG00000125877;ENSG00000137364;ENSG00000166548;ENSG00000196620;ENSG00000156096;ENSG00000130717;ENSG00000163655;ENSG00000198276;ENSG00000106258;ENSG00000213759;ENSG00000143179;ENSG00000165704"
"KEGG","KEGG_FOCAL_ADHESION",4.00372098871457e-05,0.000765155566732118,0.557332238758646,-0.509588416621871,-1.69276304423401,186,"ENSG00000142173;ENSG00000170962;ENSG00000101680;ENSG00000125753;ENSG00000115414;ENSG00000129946;ENSG00000077522;ENSG00000058335;ENSG00000171914;ENSG00000134215;ENSG00000139219;ENSG00000138448;ENSG00000160007;ENSG00000105221;ENSG00000140443;ENSG00000053747;ENSG00000135424;ENSG00000196924;ENSG00000145675;ENSG00000141506;ENSG00000130669;ENSG00000108821;ENSG00000189056;ENSG00000164692;ENSG00000081052;ENSG00000204248;ENSG00000145431;ENSG00000186298;ENSG00000172037;ENSG00000154229;ENSG00000150760;ENSG00000144668;ENSG00000134853;ENSG00000126583;ENSG00000105971;ENSG00000130635;ENSG00000169032;ENSG00000146648;ENSG00000136068;ENSG00000135862;ENSG00000137843;ENSG00000117461;ENSG00000067900;ENSG00000159840;ENSG00000041982;ENSG00000150093;ENSG00000169750;ENSG00000118785;ENSG00000102755;ENSG00000077943;ENSG00000259207;ENSG00000091136;ENSG00000196569;ENSG00000168036;ENSG00000140795;ENSG00000100485;ENSG00000168542;ENSG00000113721;ENSG00000115232;ENSG00000167193;ENSG00000171862"
"KEGG","KEGG_AXON_GUIDANCE",0.000294479708239424,0.00506505098171809,0.49849310876659,-0.516113809820194,-1.64858561810337,127,"ENSG00000168758;ENSG00000116106;ENSG00000107562;ENSG00000112902;ENSG00000107731;ENSG00000125266;ENSG00000185008;ENSG00000135333;ENSG00000108947;ENSG00000187122;ENSG00000145147;ENSG00000182580;ENSG00000145242;ENSG00000075213;ENSG00000148948;ENSG00000157851;ENSG00000133216;ENSG00000099204;ENSG00000130669;ENSG00000092421;ENSG00000044524;ENSG00000188386;ENSG00000074527;ENSG00000185033;ENSG00000138814;ENSG00000065320;ENSG00000121966;ENSG00000187323;ENSG00000138835;ENSG00000070886;ENSG00000097007;ENSG00000137843;ENSG00000182168;ENSG00000067900;ENSG00000169855;ENSG00000150093;ENSG00000196935;ENSG00000169750;ENSG00000172602;ENSG00000182541;ENSG00000165410;ENSG00000001617;ENSG00000106683;ENSG00000072736;ENSG00000137872;ENSG00000142627"
