"collection","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION",1.77486046890236e-21,2.02156607407978e-18,1.19534448258848,-0.476986817673382,-1.75826610586648,1299,"ENSG00000171649;ENSG00000158321;ENSG00000179909;ENSG00000167555;ENSG00000198093;ENSG00000254647;ENSG00000083814;ENSG00000145632;ENSG00000234444;ENSG00000119042;ENSG00000176293;ENSG00000198521;ENSG00000071564;ENSG00000153885;ENSG00000170949;ENSG00000256683;ENSG00000198131;ENSG00000082175;ENSG00000196724;ENSG00000161551;ENSG00000167281;ENSG00000183454;ENSG00000198466;ENSG00000118046;ENSG00000176024;ENSG00000083844;ENSG00000142556;ENSG00000177426;ENSG00000164442;ENSG00000137834;ENSG00000178229;ENSG00000105136;ENSG00000152443;ENSG00000063244;ENSG00000088038;ENSG00000125845;ENSG00000166704;ENSG00000122585;ENSG00000006712;ENSG00000131845;ENSG00000237440;ENSG00000197299;ENSG00000108106;ENSG00000196235;ENSG00000256087;ENSG00000121406;ENSG00000167384;ENSG00000008196;ENSG00000152454;ENSG00000124459;ENSG00000170365;ENSG00000125755;ENSG00000013275;ENSG00000071655;ENSG00000213020;ENSG00000130726;ENSG00000152439;ENSG00000099341;ENSG00000167785;ENSG00000197951;ENSG00000134250;ENSG00000197935;ENSG00000196081;ENSG00000221866;ENSG00000197619;ENSG00000130005;ENSG00000104884;ENSG00000196867;ENSG00000105568;ENSG00000105221;ENSG00000188283;ENSG00000116717;ENSG00000126457;ENSG00000171827;ENSG00000130203;ENSG00000061273;ENSG00000188227;ENSG00000121417;ENSG00000272333;ENSG00000144580;ENSG00000028277;ENSG00000186272;ENSG00000149212;ENSG00000140395;ENSG00000245680;ENSG00000186020;ENSG00000204604;ENSG00000120784;ENSG00000115107;ENSG00000183647;ENSG00000105220;ENSG00000018869;ENSG00000083817;ENSG00000136603;ENSG00000171291;ENSG00000105497;ENSG00000196967;ENSG00000181449;ENSG00000126267;ENSG00000188171;ENSG00000197016;ENSG00000189042;ENSG00000161281;ENSG00000114315;ENSG00000198046;ENSG00000197128;ENSG00000267508;ENSG00000196437;ENSG00000147180;ENSG00000197124;ENSG00000145088;ENSG00000109111;ENSG00000173480;ENSG00000143171;ENSG00000188785;ENSG00000152495;ENSG00000198440;ENSG00000196357;ENSG00000099817;ENSG00000001167;ENSG00000178386;ENSG00000130844;ENSG00000142528;ENSG00000151615;ENSG00000160336;ENSG00000081665;ENSG00000108821;ENSG00000197050;ENSG00000172687;ENSG00000132475;ENSG00000105258;ENSG00000204920;ENSG00000101384;ENSG00000165891;ENSG00000069667;ENSG00000204519;ENSG00000089335;ENSG00000198182;ENSG00000198453;ENSG00000131408;ENSG00000138614;ENSG00000181666;ENSG00000136492;ENSG00000196172;ENSG00000074181;ENSG00000175322;ENSG00000167380;ENSG00000171606;ENSG00000141391;ENSG00000164692;ENSG00000062370;ENSG00000157933;ENSG00000198028;ENSG00000074047;ENSG00000173559;ENSG00000170004;ENSG00000167562;ENSG00000149115;ENSG00000131115;ENSG00000186017;ENSG00000151623;ENSG00000251369;ENSG00000115419;ENSG00000197808;ENSG00000115415;ENSG00000130818;ENSG00000196092;ENSG00000183779;ENSG00000170100;ENSG00000182983;ENSG00000105329;ENSG00000159917;ENSG00000198538;ENSG00000142065;ENSG00000118707;ENSG00000078900;ENSG00000175221;ENSG00000168395;ENSG00000183850;ENSG00000133639;ENSG00000158402;ENSG00000152433;ENSG00000159882;ENSG00000187079;ENSG00000072401;ENSG00000256294;ENSG00000272602;ENSG00000113916;ENSG00000196782;ENSG00000159885;ENSG00000185386;ENSG00000136943;ENSG00000105173;ENSG00000148200;ENSG00000173041;ENSG00000197134;ENSG00000186230;ENSG00000116017;ENSG00000263002;ENSG00000116030;ENSG00000123136;ENSG00000196498;ENSG00000083828;ENSG00000150907;ENSG00000117139;ENSG00000196263;ENSG00000041357;ENSG00000082556;ENSG00000104067;ENSG00000197937;ENSG00000161265;ENSG00000118515;ENSG00000178665;ENSG00000114126;ENSG00000170633;ENSG00000140525;ENSG00000089685;ENSG00000178573;ENSG00000179965;ENSG00000134057;ENSG00000183955;ENSG00000169375;ENSG00000082014;ENSG00000162521;ENSG00000249471;ENSG00000136450;ENSG00000159905;ENSG00000087088;ENSG00000173894;ENSG00000151849;ENSG00000161642;ENSG00000065675;ENSG00000162714;ENSG00000138794;ENSG00000111424;ENSG00000179195;ENSG00000172115;ENSG00000161298;ENSG00000196510;ENSG00000256223;ENSG00000186300;ENSG00000175063;ENSG00000196705;ENSG00000111752;ENSG00000140464;ENSG00000143067;ENSG00000178741;ENSG00000179295;ENSG00000124762;ENSG00000133119;ENSG00000170142;ENSG00000104695;ENSG00000170312;ENSG00000160352;ENSG00000147571;ENSG00000138346;ENSG00000126070;ENSG00000204611;ENSG00000162086;ENSG00000141510;ENSG00000136518;ENSG00000196391;ENSG00000197372;ENSG00000118513;ENSG00000187607;ENSG00000173692;ENSG00000120251;ENSG00000163939;ENSG00000169258;ENSG00000174371;ENSG00000132964;ENSG00000163235;ENSG00000143799;ENSG00000115966;ENSG00000172888;ENSG00000197863;ENSG00000164683;ENSG00000104881;ENSG00000097007;ENSG00000146648;ENSG00000087586;ENSG00000178913;ENSG00000172379;ENSG00000138376;ENSG00000124486;ENSG00000213096;ENSG00000111445;ENSG00000170027;ENSG00000188486;ENSG00000168661;ENSG00000178935;ENSG00000091831;ENSG00000088325;ENSG00000198431;ENSG00000267680;ENSG00000109705;ENSG00000078328;ENSG00000189298;ENSG00000256229;ENSG00000151090;ENSG00000100425;ENSG00000165699;ENSG00000111880;ENSG00000136997;ENSG00000213967;ENSG00000104973;ENSG00000138764;ENSG00000090097;ENSG00000197020;ENSG00000092847;ENSG00000176749;ENSG00000094916;ENSG00000068024;ENSG00000128191;ENSG00000102978;ENSG00000198551;ENSG00000163781;ENSG00000143387;ENSG00000166478;ENSG00000146757;ENSG00000198464;ENSG00000197928;ENSG00000112081;ENSG00000164949;ENSG00000197061;ENSG00000141570;ENSG00000165632;ENSG00000145216;ENSG00000172819;ENSG00000144554;ENSG00000143493;ENSG00000270647;ENSG00000078687;ENSG00000152192;ENSG00000111786;ENSG00000196109;ENSG00000118785;ENSG00000180884;ENSG00000170855;ENSG00000164938;ENSG00000177302;ENSG00000122691;ENSG00000105327;ENSG00000198039;ENSG00000153094;ENSG00000186654;ENSG00000168036;ENSG00000185379;ENSG00000113456;ENSG00000186376;ENSG00000181450;ENSG00000042286;ENSG00000134371;ENSG00000167981;ENSG00000178999;ENSG00000105085;ENSG00000182141;ENSG00000123374;ENSG00000164151;ENSG00000144381;ENSG00000133703;ENSG00000276293;ENSG00000103199;ENSG00000187187;ENSG00000134308;ENSG00000136709;ENSG00000111605;ENSG00000127511;ENSG00000269699;ENSG00000187792;ENSG00000115232;ENSG00000140836;ENSG00000196387;ENSG00000180008;ENSG00000015153;ENSG00000083812;ENSG00000171862;ENSG00000096717;ENSG00000163349;ENSG00000118260;ENSG00000198176;ENSG00000101665;ENSG00000123358;ENSG00000134686;ENSG00000115875;ENSG00000011007;ENSG00000177463;ENSG00000198315;ENSG00000174652;ENSG00000163041;ENSG00000096654;ENSG00000137815;ENSG00000105968;ENSG00000072364;ENSG00000111596;ENSG00000133226;ENSG00000189079;ENSG00000204209;ENSG00000256771"
"REACTOME","REACTOME_NEURONAL_SYSTEM",4.11683044483529e-14,2.3445349383337e-11,0.965327754226083,-0.566647361632955,-1.98800375173783,366,"ENSG00000101438;ENSG00000198785;ENSG00000184156;ENSG00000105426;ENSG00000103942;ENSG00000113327;ENSG00000150672;ENSG00000183454;ENSG00000080644;ENSG00000163873;ENSG00000077522;ENSG00000153707;ENSG00000164588;ENSG00000165246;ENSG00000152578;ENSG00000131409;ENSG00000075043;ENSG00000058335;ENSG00000113319;ENSG00000129159;ENSG00000198739;ENSG00000111371;ENSG00000071242;ENSG00000143473;ENSG00000099822;ENSG00000121281;ENSG00000176533;ENSG00000124780;ENSG00000140538;ENSG00000152822;ENSG00000131398;ENSG00000112294;ENSG00000177380;ENSG00000021645;ENSG00000165646;ENSG00000158445;ENSG00000128011;ENSG00000146006;ENSG00000117971;ENSG00000088367;ENSG00000268089;ENSG00000104490;ENSG00000006071;ENSG00000173175;ENSG00000157168;ENSG00000167552;ENSG00000152495;ENSG00000137267;ENSG00000115109;ENSG00000168135;ENSG00000161681;ENSG00000137285;ENSG00000176014;ENSG00000143858;ENSG00000116544;ENSG00000155897;ENSG00000196586;ENSG00000111664;ENSG00000121361;ENSG00000138622;ENSG00000042753;ENSG00000135750;ENSG00000196961;ENSG00000111275;ENSG00000183943;ENSG00000115419;ENSG00000172380;ENSG00000146938;ENSG00000138435;ENSG00000176884;ENSG00000166387;ENSG00000136854;ENSG00000182389;ENSG00000126243;ENSG00000034053;ENSG00000258947;ENSG00000171126;ENSG00000197584;ENSG00000171303;ENSG00000184564;ENSG00000101204;ENSG00000154229;ENSG00000127824;ENSG00000277586;ENSG00000082397;ENSG00000139220;ENSG00000178568;ENSG00000156564;ENSG00000164794;ENSG00000175344;ENSG00000169992;ENSG00000102606;ENSG00000173826;ENSG00000104863;ENSG00000156642;ENSG00000182481;ENSG00000170745;ENSG00000126583;ENSG00000104888;ENSG00000162951;ENSG00000169760;ENSG00000183092;ENSG00000078369;ENSG00000120251;ENSG00000182674;ENSG00000110218;ENSG00000121871;ENSG00000182256;ENSG00000169684;ENSG00000080845;ENSG00000164418;ENSG00000168993;ENSG00000175175;ENSG00000132535;ENSG00000167553;ENSG00000156113;ENSG00000179915;ENSG00000141404;ENSG00000141837;ENSG00000004660;ENSG00000183185;ENSG00000157445;ENSG00000108946;ENSG00000171121;ENSG00000005249"
"REACTOME","REACTOME_SELENOAMINO_ACID_METABOLISM",1.28035701610812e-12,4.4675686603568e-10,0.910119734774459,0.655479801443848,2.38007085611745,115,"ENSG00000196305;ENSG00000187742;ENSG00000031698;ENSG00000104687;ENSG00000133706;ENSG00000112306;ENSG00000166986;ENSG00000162244;ENSG00000110700;ENSG00000100316;ENSG00000172053;ENSG00000109618;ENSG00000198034;ENSG00000164587;ENSG00000109475;ENSG00000130255;ENSG00000144713;ENSG00000174748;ENSG00000198755;ENSG00000163682;ENSG00000150540;ENSG00000071082;ENSG00000171858;ENSG00000179918;ENSG00000161016;ENSG00000167526;ENSG00000265681;ENSG00000108298;ENSG00000145592;ENSG00000231500;ENSG00000147403;ENSG00000166441;ENSG00000142937;ENSG00000188846;ENSG00000161970;ENSG00000198918;ENSG00000186468;ENSG00000132394;ENSG00000168028;ENSG00000145425;ENSG00000172809;ENSG00000164022;ENSG00000182899;ENSG00000137154;ENSG00000156482;ENSG00000147604;ENSG00000118181;ENSG00000116251;ENSG00000101444;ENSG00000197958;ENSG00000138326;ENSG00000149273;ENSG00000131469;ENSG00000125691;ENSG00000148303;ENSG00000105640;ENSG00000163584;ENSG00000122406;ENSG00000142676;ENSG00000197728;ENSG00000143947;ENSG00000171863;ENSG00000115866;ENSG00000136942;ENSG00000177954;ENSG00000229117;ENSG00000124614;ENSG00000177600;ENSG00000132330;ENSG00000233927;ENSG00000116761;ENSG00000114391;ENSG00000213741;ENSG00000134419;ENSG00000106305"
"REACTOME","REACTOME_TRANSLATION",1.56894421786016e-12,4.4675686603568e-10,0.910119734774459,0.464783438030243,1.9197652266606,368,"ENSG00000070756;ENSG00000173674;ENSG00000196305;ENSG00000239789;ENSG00000031698;ENSG00000140105;ENSG00000067704;ENSG00000100353;ENSG00000130741;ENSG00000133706;ENSG00000112306;ENSG00000090263;ENSG00000061794;ENSG00000106105;ENSG00000166986;ENSG00000166902;ENSG00000162244;ENSG00000134684;ENSG00000110619;ENSG00000148187;ENSG00000110700;ENSG00000161057;ENSG00000100316;ENSG00000114902;ENSG00000172053;ENSG00000143374;ENSG00000198034;ENSG00000100664;ENSG00000164587;ENSG00000109475;ENSG00000130255;ENSG00000144713;ENSG00000127922;ENSG00000174748;ENSG00000085760;ENSG00000198755;ENSG00000163682;ENSG00000254772;ENSG00000071082;ENSG00000171858;ENSG00000130349;ENSG00000161016;ENSG00000143314;ENSG00000167526;ENSG00000265681;ENSG00000123297;ENSG00000108298;ENSG00000182154;ENSG00000145592;ENSG00000231500;ENSG00000090861;ENSG00000147403;ENSG00000166441;ENSG00000156508;ENSG00000142937;ENSG00000188846;ENSG00000161970;ENSG00000198918;ENSG00000186468;ENSG00000168028;ENSG00000145425;ENSG00000172809;ENSG00000164022;ENSG00000182899;ENSG00000184110;ENSG00000137154;ENSG00000156482;ENSG00000122033;ENSG00000104408;ENSG00000147604;ENSG00000125977;ENSG00000105364;ENSG00000063046;ENSG00000011376;ENSG00000118181;ENSG00000116251;ENSG00000197958;ENSG00000138326;ENSG00000149273;ENSG00000132676;ENSG00000131469;ENSG00000125691;ENSG00000128607;ENSG00000204568;ENSG00000148303;ENSG00000105640;ENSG00000163584;ENSG00000122406;ENSG00000167658;ENSG00000164062;ENSG00000242485;ENSG00000142676;ENSG00000197728;ENSG00000143947;ENSG00000149792;ENSG00000185608;ENSG00000171863;ENSG00000115866;ENSG00000180817;ENSG00000136942;ENSG00000120662;ENSG00000134440;ENSG00000177954;ENSG00000229117;ENSG00000125901;ENSG00000124614;ENSG00000243927;ENSG00000187840;ENSG00000177600;ENSG00000118705;ENSG00000233927;ENSG00000114391;ENSG00000101210;ENSG00000164163;ENSG00000213741;ENSG00000134419;ENSG00000106305;ENSG00000100129;ENSG00000119718;ENSG00000175581;ENSG00000084623;ENSG00000112249;ENSG00000165502;ENSG00000173141;ENSG00000055950;ENSG00000145191;ENSG00000136628;ENSG00000167862;ENSG00000100883;ENSG00000178952;ENSG00000137547;ENSG00000140988;ENSG00000138777;ENSG00000149806;ENSG00000266472;ENSG00000100325;ENSG00000149100;ENSG00000214026;ENSG00000175110;ENSG00000111361;ENSG00000134056;ENSG00000102738;ENSG00000147677;ENSG00000113048;ENSG00000162396;ENSG00000120333;ENSG00000037241;ENSG00000100764;ENSG00000221983;ENSG00000065427;ENSG00000130312;ENSG00000103035;ENSG00000089157"
"REACTOME","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",1.004446115774e-10,2.28812825173317e-08,0.839088935621274,0.626791918510351,2.28482704956242,118,"ENSG00000070756;ENSG00000173674;ENSG00000100353;ENSG00000130741;ENSG00000112306;ENSG00000162244;ENSG00000110700;ENSG00000100316;ENSG00000198034;ENSG00000100664;ENSG00000164587;ENSG00000109475;ENSG00000130255;ENSG00000144713;ENSG00000174748;ENSG00000198755;ENSG00000163682;ENSG00000071082;ENSG00000171858;ENSG00000161016;ENSG00000167526;ENSG00000265681;ENSG00000108298;ENSG00000145592;ENSG00000231500;ENSG00000147403;ENSG00000166441;ENSG00000142937;ENSG00000188846;ENSG00000161970;ENSG00000198918;ENSG00000186468;ENSG00000168028;ENSG00000145425;ENSG00000172809;ENSG00000182899;ENSG00000184110;ENSG00000137154;ENSG00000156482;ENSG00000104408;ENSG00000147604;ENSG00000125977;ENSG00000063046;ENSG00000118181;ENSG00000116251;ENSG00000197958;ENSG00000138326;ENSG00000149273;ENSG00000131469;ENSG00000125691;ENSG00000148303;ENSG00000105640;ENSG00000163584;ENSG00000122406;ENSG00000142676;ENSG00000197728;ENSG00000143947;ENSG00000171863;ENSG00000136942;ENSG00000177954;ENSG00000229117;ENSG00000124614;ENSG00000187840;ENSG00000177600;ENSG00000233927;ENSG00000114391;ENSG00000213741;ENSG00000134419;ENSG00000100129;ENSG00000119718;ENSG00000084623;ENSG00000165502;ENSG00000145191"
"REACTOME","REACTOME_BIOLOGICAL_OXIDATIONS",7.82961309891966e-10,1.48632155327825e-07,0.801215574617779,0.543246755597867,2.07496141892309,167,"ENSG00000171234;ENSG00000165841;ENSG00000138109;ENSG00000197448;ENSG00000130958;ENSG00000001630;ENSG00000059377;ENSG00000197888;ENSG00000172955;ENSG00000145476;ENSG00000100577;ENSG00000085871;ENSG00000160870;ENSG00000134202;ENSG00000065621;ENSG00000137124;ENSG00000143819;ENSG00000134716;ENSG00000170899;ENSG00000160868;ENSG00000197894;ENSG00000131069;ENSG00000186529;ENSG00000171428;ENSG00000114779;ENSG00000110711;ENSG00000139684;ENSG00000186104;ENSG00000186204;ENSG00000172831;ENSG00000100243;ENSG00000162813;ENSG00000110958;ENSG00000114631;ENSG00000132744;ENSG00000243989;ENSG00000169764;ENSG00000135220;ENSG00000168765;ENSG00000023909;ENSG00000036530;ENSG00000178814;ENSG00000101444;ENSG00000117448;ENSG00000084207;ENSG00000116984;ENSG00000143198;ENSG00000128965;ENSG00000116704;ENSG00000137364;ENSG00000261052;ENSG00000186205;ENSG00000137274;ENSG00000196620;ENSG00000108242;ENSG00000156096;ENSG00000172817;ENSG00000109814;ENSG00000187758;ENSG00000038274;ENSG00000148832"
"REACTOME","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",1.10904628934372e-09,1.80457674794642e-07,0.788186810800237,0.645458732979251,2.26582158280527,92,"ENSG00000112306;ENSG00000162244;ENSG00000110700;ENSG00000100316;ENSG00000198034;ENSG00000164587;ENSG00000109475;ENSG00000130255;ENSG00000144713;ENSG00000174748;ENSG00000198755;ENSG00000163682;ENSG00000254772;ENSG00000071082;ENSG00000171858;ENSG00000161016;ENSG00000167526;ENSG00000265681;ENSG00000108298;ENSG00000145592;ENSG00000231500;ENSG00000147403;ENSG00000166441;ENSG00000156508;ENSG00000142937;ENSG00000188846;ENSG00000161970;ENSG00000198918;ENSG00000186468;ENSG00000168028;ENSG00000145425;ENSG00000172809;ENSG00000182899;ENSG00000137154;ENSG00000156482;ENSG00000147604;ENSG00000118181;ENSG00000116251;ENSG00000197958;ENSG00000138326;ENSG00000149273;ENSG00000131469;ENSG00000125691;ENSG00000148303;ENSG00000105640;ENSG00000163584;ENSG00000122406;ENSG00000167658;ENSG00000142676;ENSG00000197728;ENSG00000143947;ENSG00000171863;ENSG00000136942;ENSG00000177954;ENSG00000229117;ENSG00000124614;ENSG00000177600;ENSG00000233927;ENSG00000114391;ENSG00000101210;ENSG00000213741;ENSG00000134419"
"REACTOME","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",1.74597117968921e-09,2.48582646708251e-07,0.788186810800237,0.627035992225107,2.23253993962016,100,"ENSG00000070669;ENSG00000130741;ENSG00000112306;ENSG00000172216;ENSG00000101255;ENSG00000162244;ENSG00000110700;ENSG00000100316;ENSG00000198034;ENSG00000164587;ENSG00000109475;ENSG00000130255;ENSG00000144713;ENSG00000174748;ENSG00000198755;ENSG00000163682;ENSG00000071082;ENSG00000171858;ENSG00000161016;ENSG00000162772;ENSG00000167526;ENSG00000265681;ENSG00000108298;ENSG00000145592;ENSG00000231500;ENSG00000147403;ENSG00000166441;ENSG00000142937;ENSG00000188846;ENSG00000161970;ENSG00000198918;ENSG00000186468;ENSG00000168028;ENSG00000145425;ENSG00000172809;ENSG00000182899;ENSG00000137154;ENSG00000156482;ENSG00000147604;ENSG00000125977;ENSG00000128829;ENSG00000118181;ENSG00000116251;ENSG00000197958;ENSG00000138326;ENSG00000149273;ENSG00000131469;ENSG00000125691;ENSG00000148303;ENSG00000105640;ENSG00000163584;ENSG00000122406;ENSG00000142676;ENSG00000197728;ENSG00000143947;ENSG00000171863;ENSG00000175197;ENSG00000136942;ENSG00000177954;ENSG00000229117;ENSG00000124614;ENSG00000177600;ENSG00000233927;ENSG00000114391;ENSG00000213741;ENSG00000134419"
"REACTOME","REACTOME_CELLULAR_RESPONSE_TO_STARVATION",2.10683817777271e-09,2.50789060134321e-07,0.774939030136436,0.546673056450974,2.06311719344153,154,"ENSG00000070669;ENSG00000130741;ENSG00000116039;ENSG00000112306;ENSG00000172216;ENSG00000101255;ENSG00000128524;ENSG00000162244;ENSG00000177058;ENSG00000110700;ENSG00000100316;ENSG00000198034;ENSG00000164587;ENSG00000109475;ENSG00000130255;ENSG00000144713;ENSG00000174748;ENSG00000198755;ENSG00000163682;ENSG00000174206;ENSG00000071082;ENSG00000171858;ENSG00000161016;ENSG00000162772;ENSG00000167526;ENSG00000265681;ENSG00000108298;ENSG00000145592;ENSG00000231500;ENSG00000147403;ENSG00000166441;ENSG00000142937;ENSG00000188846;ENSG00000161970;ENSG00000198918;ENSG00000186468;ENSG00000168028;ENSG00000106615;ENSG00000145425;ENSG00000172809;ENSG00000188186;ENSG00000182899;ENSG00000137154;ENSG00000156482;ENSG00000147604;ENSG00000125977;ENSG00000128829;ENSG00000118181;ENSG00000116251;ENSG00000197958;ENSG00000138326;ENSG00000149273;ENSG00000155097;ENSG00000131469;ENSG00000125691;ENSG00000148303;ENSG00000105640;ENSG00000163584;ENSG00000122406;ENSG00000142676;ENSG00000197728;ENSG00000143947;ENSG00000171863;ENSG00000175197;ENSG00000164603;ENSG00000136942;ENSG00000114388;ENSG00000177954;ENSG00000229117;ENSG00000124614;ENSG00000177600;ENSG00000233927;ENSG00000114391;ENSG00000213741;ENSG00000134419"
"REACTOME","REACTOME_METABOLISM_OF_LIPIDS",2.20183547088956e-09,2.50789060134321e-07,0.774939030136436,0.36028516553194,1.56054159296713,700,"ENSG00000167588;ENSG00000149328;ENSG00000164120;ENSG00000186480;ENSG00000005471;ENSG00000165841;ENSG00000146151;ENSG00000138109;ENSG00000140284;ENSG00000112304;ENSG00000001630;ENSG00000101849;ENSG00000101638;ENSG00000059377;ENSG00000184227;ENSG00000198610;ENSG00000006757;ENSG00000129103;ENSG00000105355;ENSG00000083807;ENSG00000120915;ENSG00000157399;ENSG00000125629;ENSG00000169692;ENSG00000006530;ENSG00000134324;ENSG00000177628;ENSG00000106617;ENSG00000173153;ENSG00000204228;ENSG00000145321;ENSG00000235863;ENSG00000140043;ENSG00000176597;ENSG00000012174;ENSG00000172531;ENSG00000134317;ENSG00000143036;ENSG00000111271;ENSG00000105647;ENSG00000132793;ENSG00000070214;ENSG00000181513;ENSG00000164023;ENSG00000134716;ENSG00000119673;ENSG00000143554;ENSG00000160868;ENSG00000164434;ENSG00000186529;ENSG00000198814;ENSG00000165591;ENSG00000005469;ENSG00000157184;ENSG00000168306;ENSG00000163344;ENSG00000214530;ENSG00000176783;ENSG00000110697;ENSG00000152904;ENSG00000149485;ENSG00000140876;ENSG00000188089;ENSG00000023330;ENSG00000178773;ENSG00000221988;ENSG00000160752;ENSG00000142875;ENSG00000161267;ENSG00000131373;ENSG00000005187;ENSG00000101255;ENSG00000074416;ENSG00000062282;ENSG00000112972;ENSG00000064601;ENSG00000054983;ENSG00000186104;ENSG00000162407;ENSG00000085662;ENSG00000117305;ENSG00000107679;ENSG00000100596;ENSG00000184381;ENSG00000025434;ENSG00000151611;ENSG00000109452;ENSG00000163082;ENSG00000132196;ENSG00000143418;ENSG00000148677;ENSG00000174607;ENSG00000038210;ENSG00000169710;ENSG00000110958;ENSG00000162889;ENSG00000159479;ENSG00000177465;ENSG00000198754;ENSG00000106853;ENSG00000101846;ENSG00000164291;ENSG00000163624;ENSG00000143845;ENSG00000072310;ENSG00000176715;ENSG00000146085;ENSG00000198189;ENSG00000104325;ENSG00000148297;ENSG00000131791;ENSG00000133812;ENSG00000173409;ENSG00000168765;ENSG00000161920;ENSG00000167107;ENSG00000176454;ENSG00000102125;ENSG00000095321;ENSG00000051382;ENSG00000006756;ENSG00000111144;ENSG00000103502;ENSG00000067064;ENSG00000100299;ENSG00000141179;ENSG00000036530;ENSG00000135241;ENSG00000170099;ENSG00000148154;ENSG00000168389;ENSG00000068366;ENSG00000138678;ENSG00000072210;ENSG00000099377;ENSG00000145779;ENSG00000242612;ENSG00000153982;ENSG00000241878;ENSG00000135587;ENSG00000069764;ENSG00000113790;ENSG00000123353;ENSG00000142453;ENSG00000162409;ENSG00000124370;ENSG00000088766;ENSG00000130589;ENSG00000133997;ENSG00000103150;ENSG00000131748;ENSG00000149084;ENSG00000152642;ENSG00000159445;ENSG00000241973;ENSG00000119537;ENSG00000143850;ENSG00000105559;ENSG00000164687;ENSG00000087008;ENSG00000116133;ENSG00000116353;ENSG00000196455;ENSG00000124164;ENSG00000114054;ENSG00000134287;ENSG00000100288;ENSG00000128039;ENSG00000128242;ENSG00000153395;ENSG00000180957;ENSG00000143393;ENSG00000198721;ENSG00000127252;ENSG00000101473;ENSG00000100439;ENSG00000143815;ENSG00000135245;ENSG00000147155;ENSG00000117480;ENSG00000198964;ENSG00000172817;ENSG00000138018;ENSG00000143344;ENSG00000185361;ENSG00000163629;ENSG00000149809;ENSG00000118137;ENSG00000177666;ENSG00000167315;ENSG00000134255;ENSG00000075239;ENSG00000107897;ENSG00000144455;ENSG00000146233;ENSG00000152944;ENSG00000134824;ENSG00000126821;ENSG00000100294;ENSG00000130703;ENSG00000066322;ENSG00000052126;ENSG00000032444;ENSG00000188611;ENSG00000197375;ENSG00000085719;ENSG00000205808;ENSG00000052802;ENSG00000135218;ENSG00000126091;ENSG00000171100;ENSG00000148334;ENSG00000049860;ENSG00000112033;ENSG00000133835;ENSG00000103089;ENSG00000107242;ENSG00000116906;ENSG00000006025"
