"collection","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.07077499813537e-07,5.35387499067687e-06,0.704975715167238,-0.505827754363134,-2.10489195398746,113,"ENSG00000051108;ENSG00000149428;ENSG00000044574;ENSG00000166598;ENSG00000143870;ENSG00000102580;ENSG00000134109;ENSG00000129128;ENSG00000065911;ENSG00000135069;ENSG00000172071;ENSG00000179218;ENSG00000112685;ENSG00000118217;ENSG00000272886;ENSG00000173559;ENSG00000080802;ENSG00000198677;ENSG00000113300;ENSG00000112715;ENSG00000184575;ENSG00000128965;ENSG00000145740;ENSG00000153879;ENSG00000170759;ENSG00000113407;ENSG00000197930;ENSG00000103257;ENSG00000065485;ENSG00000001167;ENSG00000172795;ENSG00000196305;ENSG00000172239;ENSG00000108691;ENSG00000134001;ENSG00000164924;ENSG00000172216;ENSG00000178607;ENSG00000138674;ENSG00000100196;ENSG00000128590;ENSG00000039123"
"HALLMARK","HALLMARK_ANDROGEN_RESPONSE",4.30736117880917e-07,1.07684029470229e-05,0.674962860011025,-0.496059717436986,-2.01740919138582,98,"ENSG00000118515;ENSG00000167034;ENSG00000129128;ENSG00000113161;ENSG00000096060;ENSG00000198833;ENSG00000081377;ENSG00000125257;ENSG00000112972;ENSG00000158711;ENSG00000266412;ENSG00000123983;ENSG00000150347;ENSG00000150961;ENSG00000117143;ENSG00000099194;ENSG00000198648;ENSG00000166451;ENSG00000155850;ENSG00000113594;ENSG00000140526;ENSG00000116133;ENSG00000012660;ENSG00000134294;ENSG00000102804;ENSG00000104687;ENSG00000086062;ENSG00000205189;ENSG00000124664;ENSG00000152642;ENSG00000074695;ENSG00000104419;ENSG00000149485;ENSG00000184012;ENSG00000108175;ENSG00000138448;ENSG00000160862;ENSG00000128590;ENSG00000109452;ENSG00000111837;ENSG00000164116;ENSG00000177189;ENSG00000138641"
"HALLMARK","HALLMARK_MITOTIC_SPINDLE",1.22021421855701e-06,2.03369036426168e-05,0.643551836150722,-0.40050598995604,-1.79783060969686,199,"ENSG00000137962;ENSG00000124126;ENSG00000075391;ENSG00000180628;ENSG00000157483;ENSG00000173848;ENSG00000075618;ENSG00000130779;ENSG00000164327;ENSG00000165527;ENSG00000156299;ENSG00000075711;ENSG00000196924;ENSG00000159023;ENSG00000145715;ENSG00000115904;ENSG00000067900;ENSG00000139618;ENSG00000124214;ENSG00000074054;ENSG00000158987;ENSG00000054523;ENSG00000133026;ENSG00000170776;ENSG00000165175;ENSG00000072501;ENSG00000129116;ENSG00000011454;ENSG00000100852;ENSG00000211455;ENSG00000010017;ENSG00000134982;ENSG00000097007;ENSG00000132694;ENSG00000186716;ENSG00000180263;ENSG00000115839;ENSG00000101350;ENSG00000170759;ENSG00000196712;ENSG00000128512;ENSG00000007168;ENSG00000116127;ENSG00000101639;ENSG00000130402;ENSG00000100503;ENSG00000131023;ENSG00000151914;ENSG00000038382;ENSG00000136754;ENSG00000126216;ENSG00000114346;ENSG00000126214;ENSG00000112877;ENSG00000197102;ENSG00000143776;ENSG00000079819;ENSG00000155903;ENSG00000196914;ENSG00000035403;ENSG00000139132;ENSG00000153094;ENSG00000079482;ENSG00000163605;ENSG00000115355;ENSG00000277443;ENSG00000154556;ENSG00000004897;ENSG00000101367;ENSG00000108423;ENSG00000138778;ENSG00000138095;ENSG00000264364;ENSG00000131747;ENSG00000084731;ENSG00000118762;ENSG00000071051;ENSG00000163110;ENSG00000198087;ENSG00000066777;ENSG00000152767;ENSG00000106299;ENSG00000101871"
"HALLMARK","HALLMARK_UV_RESPONSE_DN",4.92314784373617e-06,6.15393480467022e-05,0.610526878385931,-0.431146011559749,-1.84986445494566,142,"ENSG00000103222;ENSG00000160145;ENSG00000117152;ENSG00000109320;ENSG00000010810;ENSG00000115641;ENSG00000074416;ENSG00000163513;ENSG00000198718;ENSG00000139514;ENSG00000017260;ENSG00000187210;ENSG00000083123;ENSG00000105976;ENSG00000099250;ENSG00000156103;ENSG00000131711;ENSG00000075711;ENSG00000163697;ENSG00000131089;ENSG00000116731;ENSG00000134107;ENSG00000169047;ENSG00000157540;ENSG00000078269;ENSG00000088812;ENSG00000117020;ENSG00000069702;ENSG00000070961;ENSG00000107779;ENSG00000163935;ENSG00000101665;ENSG00000259207;ENSG00000131788;ENSG00000164190;ENSG00000164741;ENSG00000113580;ENSG00000121989;ENSG00000085224;ENSG00000148700;ENSG00000108175;ENSG00000104067;ENSG00000151414;ENSG00000154229;ENSG00000143776;ENSG00000130164;ENSG00000155903;ENSG00000058668;ENSG00000196876;ENSG00000109452;ENSG00000140092;ENSG00000156113;ENSG00000166949;ENSG00000140443;ENSG00000174738;ENSG00000157110;ENSG00000083896;ENSG00000118482;ENSG00000121067;ENSG00000112941;ENSG00000164654;ENSG00000135862;ENSG00000163110;ENSG00000101333;ENSG00000112062"
"HALLMARK","HALLMARK_ESTROGEN_RESPONSE_EARLY",2.3435376765422e-05,0.000195294806378516,0.575610261071129,-0.380784850949841,-1.70578471184247,194,"ENSG00000164626;ENSG00000071242;ENSG00000204516;ENSG00000152137;ENSG00000118242;ENSG00000124249;ENSG00000115641;ENSG00000096968;ENSG00000155090;ENSG00000164742;ENSG00000111490;ENSG00000140284;ENSG00000131370;ENSG00000096060;ENSG00000134352;ENSG00000187720;ENSG00000156299;ENSG00000064652;ENSG00000148154;ENSG00000003989;ENSG00000123066;ENSG00000171346;ENSG00000169583;ENSG00000114315;ENSG00000172137;ENSG00000162104;ENSG00000134107;ENSG00000168461;ENSG00000075275;ENSG00000148344;ENSG00000164292;ENSG00000149218;ENSG00000197977;ENSG00000155850;ENSG00000111816;ENSG00000165169;ENSG00000140526;ENSG00000198682;ENSG00000012660;ENSG00000111319;ENSG00000143126;ENSG00000113645;ENSG00000103257;ENSG00000086062;ENSG00000144749;ENSG00000164741;ENSG00000148700;ENSG00000099204;ENSG00000166821;ENSG00000074410;ENSG00000171791;ENSG00000141424;ENSG00000181788;ENSG00000116774;ENSG00000163659;ENSG00000150687;ENSG00000198825;ENSG00000172493;ENSG00000117479;ENSG00000128567;ENSG00000033327;ENSG00000168453;ENSG00000172893;ENSG00000143319;ENSG00000120690;ENSG00000140443;ENSG00000180530;ENSG00000004948;ENSG00000154153"
"HALLMARK","HALLMARK_MTORC1_SIGNALING",2.17269620916344e-05,0.000195294806378516,0.575610261071129,-0.378030176242789,-1.69693893654631,198,"ENSG00000044574;ENSG00000166598;ENSG00000164211;ENSG00000134109;ENSG00000003056;ENSG00000065911;ENSG00000198431;ENSG00000135069;ENSG00000174437;ENSG00000001630;ENSG00000113161;ENSG00000127022;ENSG00000001084;ENSG00000145545;ENSG00000135842;ENSG00000104549;ENSG00000112972;ENSG00000179218;ENSG00000155561;ENSG00000135269;ENSG00000278540;ENSG00000123983;ENSG00000131389;ENSG00000103018;ENSG00000134107;ENSG00000131473;ENSG00000131467;ENSG00000099194;ENSG00000138768;ENSG00000159399;ENSG00000109929;ENSG00000079739;ENSG00000152256;ENSG00000152952;ENSG00000072274;ENSG00000136628;ENSG00000082701;ENSG00000116133;ENSG00000012660;ENSG00000121966;ENSG00000197930;ENSG00000104687;ENSG00000105835;ENSG00000103257;ENSG00000138071;ENSG00000163655;ENSG00000148700;ENSG00000149485;ENSG00000162433;ENSG00000130164;ENSG00000120686;ENSG00000175197;ENSG00000138413;ENSG00000159167;ENSG00000172893;ENSG00000072042;ENSG00000115091;ENSG00000005020;ENSG00000187735;ENSG00000124783;ENSG00000105281;ENSG00000132383;ENSG00000100219;ENSG00000120705;ENSG00000102144;ENSG00000013275;ENSG00000116750;ENSG00000100600;ENSG00000183735;ENSG00000151012;ENSG00000006831;ENSG00000117394;ENSG00000114480;ENSG00000124762;ENSG00000138069;ENSG00000067064;ENSG00000168209;ENSG00000124802;ENSG00000147852;ENSG00000104738;ENSG00000140105;ENSG00000109084;ENSG00000109332;ENSG00000115461;ENSG00000163738;ENSG00000180957;ENSG00000117461;ENSG00000113328"
"HALLMARK","HALLMARK_PROTEIN_SECRETION",3.04549850196209e-05,0.000217535607283006,0.575610261071129,-0.46524648065022,-1.88763456359901,96,"ENSG00000198964;ENSG00000003056;ENSG00000165029;ENSG00000085365;ENSG00000197081;ENSG00000109572;ENSG00000144566;ENSG00000132842;ENSG00000150961;ENSG00000124198;ENSG00000124209;ENSG00000170348;ENSG00000138768;ENSG00000054523;ENSG00000122126;ENSG00000079950;ENSG00000137845;ENSG00000083097;ENSG00000061987;ENSG00000139921;ENSG00000095139;ENSG00000136193;ENSG00000100030;ENSG00000151914;ENSG00000087470;ENSG00000074695;ENSG00000119396;ENSG00000086598;ENSG00000119541;ENSG00000184432;ENSG00000141367;ENSG00000163399;ENSG00000141198;ENSG00000129083;ENSG00000138674;ENSG00000049245;ENSG00000177189;ENSG00000166747;ENSG00000124222;ENSG00000136738;ENSG00000123096;ENSG00000265808;ENSG00000005893;ENSG00000181704;ENSG00000066777"
"HALLMARK","HALLMARK_OXIDATIVE_PHOSPHORYLATION",5.8498131671578e-05,0.000365613322947362,0.557332238758646,0.378811453973969,1.6569760713449,200,"ENSG00000072778;ENSG00000154723;ENSG00000115317;ENSG00000099624;ENSG00000167792;ENSG00000183648;ENSG00000136521;ENSG00000110717;ENSG00000128654;ENSG00000145494;ENSG00000215021;ENSG00000164919;ENSG00000140740;ENSG00000174547;ENSG00000156502;ENSG00000124172;ENSG00000126267;ENSG00000135390;ENSG00000110719;ENSG00000099795;ENSG00000213619;ENSG00000184076;ENSG00000151729;ENSG00000140983;ENSG00000169020;ENSG00000060971;ENSG00000104823;ENSG00000108528;ENSG00000131143;ENSG00000115286;ENSG00000241837;ENSG00000164258;ENSG00000179091;ENSG00000159199;ENSG00000087088;ENSG00000127884;ENSG00000065518;ENSG00000127948;ENSG00000090266;ENSG00000112695;ENSG00000148290;ENSG00000104325;ENSG00000010256;ENSG00000135940;ENSG00000189043;ENSG00000167863;ENSG00000101365;ENSG00000241468;ENSG00000127184;ENSG00000107537;ENSG00000138495;ENSG00000072506;ENSG00000143198;ENSG00000116898;ENSG00000105197;ENSG00000130312;ENSG00000109390;ENSG00000117118;ENSG00000099800;ENSG00000127540;ENSG00000100575;ENSG00000146701;ENSG00000128524;ENSG00000167468;ENSG00000167969;ENSG00000143153;ENSG00000105379;ENSG00000165264;ENSG00000004779;ENSG00000117410;ENSG00000139180;ENSG00000267855;ENSG00000155463;ENSG00000084754;ENSG00000125356;ENSG00000042445;ENSG00000165629;ENSG00000178741;ENSG00000150779;ENSG00000173660;ENSG00000185883;ENSG00000111775;ENSG00000166136;ENSG00000166347;ENSG00000136003;ENSG00000078668;ENSG00000119689;ENSG00000100243;ENSG00000165637"
"HALLMARK","HALLMARK_IL2_STAT5_SIGNALING",8.83116981607589e-05,0.00049062054533755,0.538434096309916,-0.37312316063103,-1.65763680205088,183,"ENSG00000146072;ENSG00000069667;ENSG00000123901;ENSG00000061918;ENSG00000139112;ENSG00000157483;ENSG00000116729;ENSG00000128791;ENSG00000006576;ENSG00000130340;ENSG00000107968;ENSG00000123411;ENSG00000120949;ENSG00000099250;ENSG00000156299;ENSG00000197081;ENSG00000171533;ENSG00000171867;ENSG00000155744;ENSG00000085563;ENSG00000188404;ENSG00000134107;ENSG00000172594;ENSG00000135074;ENSG00000056558;ENSG00000120659;ENSG00000159399;ENSG00000171488;ENSG00000152061;ENSG00000157856;ENSG00000144749;ENSG00000164305;ENSG00000064393;ENSG00000163814;ENSG00000104419;ENSG00000115604;ENSG00000155158;ENSG00000124151;ENSG00000134531;ENSG00000138821;ENSG00000171791;ENSG00000170017;ENSG00000188313;ENSG00000273749;ENSG00000030419;ENSG00000138448;ENSG00000143878;ENSG00000198478;ENSG00000204217;ENSG00000106546;ENSG00000185920;ENSG00000135318;ENSG00000197594;ENSG00000162889;ENSG00000129757;ENSG00000140443;ENSG00000169432;ENSG00000059728;ENSG00000158985;ENSG00000105281;ENSG00000067082;ENSG00000100219;ENSG00000185338;ENSG00000135317;ENSG00000027075;ENSG00000086758;ENSG00000172954;ENSG00000143190;ENSG00000184014;ENSG00000162654;ENSG00000122694;ENSG00000025039;ENSG00000092529;ENSG00000133789"
"HALLMARK","HALLMARK_HYPOXIA",0.000247747204593683,0.00123873602296841,0.49849310876659,-0.354764354539575,-1.58922186838778,194,"ENSG00000044574;ENSG00000170525;ENSG00000011465;ENSG00000069667;ENSG00000134954;ENSG00000130287;ENSG00000111846;ENSG00000143590;ENSG00000116285;ENSG00000118263;ENSG00000118523;ENSG00000133639;ENSG00000135269;ENSG00000131389;ENSG00000188994;ENSG00000100311;ENSG00000114796;ENSG00000134107;ENSG00000118503;ENSG00000159399;ENSG00000175040;ENSG00000119938;ENSG00000095015;ENSG00000072682;ENSG00000079739;ENSG00000112715;ENSG00000152256;ENSG00000151640;ENSG00000168214;ENSG00000076716;ENSG00000121966;ENSG00000197930;ENSG00000113580;ENSG00000010404;ENSG00000081277;ENSG00000104419;ENSG00000120708;ENSG00000074410;ENSG00000128294;ENSG00000104765;ENSG00000171791;ENSG00000182197;ENSG00000162433;ENSG00000181788;ENSG00000154229;ENSG00000136872;ENSG00000100196;ENSG00000166796;ENSG00000175197;ENSG00000118689;ENSG00000163659;ENSG00000182492;ENSG00000159167;ENSG00000162512;ENSG00000155980;ENSG00000129757;ENSG00000146278;ENSG00000181458;ENSG00000143627;ENSG00000132692;ENSG00000067082;ENSG00000169764;ENSG00000102144;ENSG00000115548;ENSG00000070614;ENSG00000117394;ENSG00000025039;ENSG00000114480;ENSG00000148926;ENSG00000164105;ENSG00000164776;ENSG00000124762;ENSG00000100345;ENSG00000113083;ENSG00000168209;ENSG00000067992;ENSG00000147852;ENSG00000102239"
