"collection","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",7.06331692573355e-23,9.97340349913577e-20,1.23789667319529,0.745870390438842,2.92503010266439,92,"ENSG00000198918;ENSG00000163584;ENSG00000112306;ENSG00000143947;ENSG00000101210;ENSG00000265681;ENSG00000177954;ENSG00000197958;ENSG00000167526;ENSG00000254772;ENSG00000108298;ENSG00000100316;ENSG00000104529;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000138326;ENSG00000124614;ENSG00000198034;ENSG00000182774;ENSG00000171858;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000114942;ENSG00000186468;ENSG00000172809;ENSG00000142541;ENSG00000163682;ENSG00000114391;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000089157;ENSG00000241343;ENSG00000134419;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000110700;ENSG00000145592;ENSG00000168028;ENSG00000122406;ENSG00000213741;ENSG00000197756;ENSG00000174444;ENSG00000108107;ENSG00000171863;ENSG00000083845;ENSG00000137818;ENSG00000188846;ENSG00000105372;ENSG00000071082;ENSG00000131469;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000129824;ENSG00000182899;ENSG00000156482;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000140988;ENSG00000142534;ENSG00000221983;ENSG00000198242;ENSG00000125691;ENSG00000161970"
"REACTOME","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",6.47547817315993e-20,4.57168759025091e-17,1.15122052214226,0.682230941247697,2.78039965556505,118,"ENSG00000198918;ENSG00000163584;ENSG00000112306;ENSG00000143947;ENSG00000265681;ENSG00000177954;ENSG00000100353;ENSG00000197958;ENSG00000167526;ENSG00000108298;ENSG00000100316;ENSG00000175390;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000138326;ENSG00000124614;ENSG00000198034;ENSG00000182774;ENSG00000171858;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000186468;ENSG00000172809;ENSG00000142541;ENSG00000163682;ENSG00000114391;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000089157;ENSG00000115211;ENSG00000241343;ENSG00000134419;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000110700;ENSG00000145592;ENSG00000168028;ENSG00000122406;ENSG00000213741;ENSG00000178982;ENSG00000197756;ENSG00000145191;ENSG00000174444;ENSG00000108107;ENSG00000171863;ENSG00000083845;ENSG00000137818;ENSG00000161960;ENSG00000188846;ENSG00000105372;ENSG00000071082;ENSG00000131469;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000129824;ENSG00000182899;ENSG00000156482;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000140988;ENSG00000142534;ENSG00000084623;ENSG00000221983;ENSG00000198242;ENSG00000125691;ENSG00000130811;ENSG00000161970"
"REACTOME","REACTOME_TRANSLATION",5.16877480787919e-18,2.43277000957514e-15,1.0959292864312,0.480674267285806,2.23554241482626,368,"ENSG00000102738;ENSG00000162910;ENSG00000214026;ENSG00000143374;ENSG00000198918;ENSG00000163584;ENSG00000171421;ENSG00000136930;ENSG00000277791;ENSG00000112306;ENSG00000181610;ENSG00000175756;ENSG00000143947;ENSG00000162396;ENSG00000101210;ENSG00000166902;ENSG00000265681;ENSG00000112651;ENSG00000104835;ENSG00000177954;ENSG00000100353;ENSG00000197958;ENSG00000167526;ENSG00000141002;ENSG00000254772;ENSG00000108298;ENSG00000150991;ENSG00000100316;ENSG00000175390;ENSG00000104529;ENSG00000172590;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000100902;ENSG00000125445;ENSG00000144029;ENSG00000138326;ENSG00000204568;ENSG00000124614;ENSG00000198034;ENSG00000130706;ENSG00000137411;ENSG00000105364;ENSG00000182774;ENSG00000171858;ENSG00000174547;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000114942;ENSG00000172172;ENSG00000186468;ENSG00000172809;ENSG00000142541;ENSG00000163682;ENSG00000114391;ENSG00000103363;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000074071;ENSG00000089157;ENSG00000115211;ENSG00000070010;ENSG00000096080;ENSG00000180879;ENSG00000241343;ENSG00000134419;ENSG00000156928;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163516;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000183617;ENSG00000149806;ENSG00000062582;ENSG00000233927;ENSG00000239789;ENSG00000204822;ENSG00000204394;ENSG00000110700;ENSG00000148187;ENSG00000114902;ENSG00000132591;ENSG00000145592;ENSG00000130921;ENSG00000168028;ENSG00000132432;ENSG00000122406;ENSG00000213741;ENSG00000178982;ENSG00000185627;ENSG00000111639;ENSG00000197756;ENSG00000182180;ENSG00000143314;ENSG00000166986;ENSG00000145191;ENSG00000174444;ENSG00000180992;ENSG00000167862;ENSG00000108107;ENSG00000171863;ENSG00000086504;ENSG00000083845;ENSG00000211459;ENSG00000137818;ENSG00000008018;ENSG00000161960;ENSG00000178952;ENSG00000188846;ENSG00000242485;ENSG00000105372;ENSG00000071082;ENSG00000167962;ENSG00000140319;ENSG00000116120;ENSG00000204316;ENSG00000131469;ENSG00000262814;ENSG00000163319;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000159377;ENSG00000146282;ENSG00000129824;ENSG00000182899;ENSG00000087191;ENSG00000142507;ENSG00000164062;ENSG00000116898;ENSG00000106305;ENSG00000130312;ENSG00000156482;ENSG00000133706;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000165916;ENSG00000106588;ENSG00000136522;ENSG00000125901;ENSG00000114850;ENSG00000122033;ENSG00000170445;ENSG00000140988;ENSG00000175166;ENSG00000099341;ENSG00000142534;ENSG00000084623;ENSG00000221983;ENSG00000259494;ENSG00000198242;ENSG00000125691;ENSG00000130811;ENSG00000161970;ENSG00000149273;ENSG00000100387;ENSG00000169288;ENSG00000004779;ENSG00000100325;ENSG00000116874;ENSG00000103035;ENSG00000155463;ENSG00000147586;ENSG00000089009;ENSG00000147403;ENSG00000185608;ENSG00000179115;ENSG00000116221;ENSG00000055950;ENSG00000122140;ENSG00000041357;ENSG00000106803;ENSG00000134056;ENSG00000101182;ENSG00000185088"
"REACTOME","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",1.44511941048389e-17,4.08101721520651e-15,1.07686819261983,0.678967967168556,2.6949045514001,100,"ENSG00000198918;ENSG00000163584;ENSG00000112306;ENSG00000143947;ENSG00000265681;ENSG00000177954;ENSG00000197958;ENSG00000167526;ENSG00000108298;ENSG00000100316;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000138326;ENSG00000124614;ENSG00000198034;ENSG00000182774;ENSG00000171858;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000186468;ENSG00000172809;ENSG00000142541;ENSG00000163682;ENSG00000114391;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000089157;ENSG00000241343;ENSG00000134419;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000128272;ENSG00000149806;ENSG00000233927;ENSG00000110700;ENSG00000145592;ENSG00000168028;ENSG00000122406;ENSG00000213741;ENSG00000197756;ENSG00000174444;ENSG00000108107;ENSG00000171863;ENSG00000083845;ENSG00000137818;ENSG00000188846;ENSG00000105372;ENSG00000071082;ENSG00000131469;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000129824;ENSG00000182899;ENSG00000156482;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000101255;ENSG00000140988;ENSG00000142534;ENSG00000221983;ENSG00000198242;ENSG00000125691;ENSG00000161970"
"REACTOME","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL",1.30152907692581e-17,4.08101721520651e-15,1.0864405425825,0.620474669300276,2.59554213228114,143,"ENSG00000198918;ENSG00000163584;ENSG00000136930;ENSG00000277791;ENSG00000112306;ENSG00000143947;ENSG00000265681;ENSG00000177954;ENSG00000197958;ENSG00000167526;ENSG00000141002;ENSG00000108298;ENSG00000150991;ENSG00000100316;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000100902;ENSG00000138326;ENSG00000124614;ENSG00000198034;ENSG00000130706;ENSG00000182774;ENSG00000171858;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000186468;ENSG00000172809;ENSG00000142541;ENSG00000163682;ENSG00000114391;ENSG00000103363;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000089157;ENSG00000070010;ENSG00000241343;ENSG00000134419;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163516;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000110700;ENSG00000145592;ENSG00000168028;ENSG00000122406;ENSG00000213741;ENSG00000185627;ENSG00000197756;ENSG00000174444;ENSG00000108107;ENSG00000171863;ENSG00000083845;ENSG00000137818;ENSG00000008018;ENSG00000188846;ENSG00000105372;ENSG00000071082;ENSG00000167962;ENSG00000131469;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000159377;ENSG00000129824;ENSG00000182899;ENSG00000087191;ENSG00000142507;ENSG00000156482;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000165916;ENSG00000106588;ENSG00000140988;ENSG00000175166;ENSG00000099341;ENSG00000142534;ENSG00000221983;ENSG00000198242;ENSG00000125691;ENSG00000161970;ENSG00000149273;ENSG00000100387;ENSG00000100325;ENSG00000103035;ENSG00000089009;ENSG00000147403;ENSG00000041357;ENSG00000101182;ENSG00000185088"
"REACTOME","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",1.10445924746216e-16,2.22785208202367e-14,1.05746357275086,0.654127313553786,2.64067557503708,111,"ENSG00000198918;ENSG00000163584;ENSG00000112306;ENSG00000143947;ENSG00000265681;ENSG00000177954;ENSG00000197958;ENSG00000167526;ENSG00000108298;ENSG00000100316;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000138326;ENSG00000124614;ENSG00000198034;ENSG00000182774;ENSG00000171858;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000186468;ENSG00000172809;ENSG00000142541;ENSG00000163682;ENSG00000114391;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000089157;ENSG00000180879;ENSG00000241343;ENSG00000134419;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000110700;ENSG00000114902;ENSG00000145592;ENSG00000168028;ENSG00000132432;ENSG00000122406;ENSG00000213741;ENSG00000197756;ENSG00000174444;ENSG00000108107;ENSG00000171863;ENSG00000083845;ENSG00000137818;ENSG00000188846;ENSG00000105372;ENSG00000071082;ENSG00000140319;ENSG00000131469;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000129824;ENSG00000182899;ENSG00000156482;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000114850;ENSG00000140988;ENSG00000142534;ENSG00000221983;ENSG00000198242;ENSG00000125691;ENSG00000161970"
"REACTOME","REACTOME_SELENOAMINO_ACID_METABOLISM",9.62689978037718e-17,2.22785208202367e-14,1.05746357275086,0.647548454370813,2.63034154804108,115,"ENSG00000151224;ENSG00000132330;ENSG00000198918;ENSG00000163584;ENSG00000112306;ENSG00000143947;ENSG00000265681;ENSG00000177954;ENSG00000197958;ENSG00000167526;ENSG00000108298;ENSG00000100316;ENSG00000124713;ENSG00000160200;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000138326;ENSG00000124614;ENSG00000198034;ENSG00000182774;ENSG00000171858;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000186468;ENSG00000172809;ENSG00000142541;ENSG00000163682;ENSG00000114391;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000089157;ENSG00000241343;ENSG00000134419;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000110700;ENSG00000145592;ENSG00000168028;ENSG00000122406;ENSG00000213741;ENSG00000197756;ENSG00000166986;ENSG00000174444;ENSG00000108107;ENSG00000171863;ENSG00000083845;ENSG00000137818;ENSG00000188846;ENSG00000105372;ENSG00000071082;ENSG00000131469;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000132394;ENSG00000129824;ENSG00000182899;ENSG00000179988;ENSG00000106305;ENSG00000156482;ENSG00000133706;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000140988;ENSG00000142534;ENSG00000221983;ENSG00000198242;ENSG00000125691;ENSG00000161970"
"REACTOME","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",6.9146754422983e-16,1.22044021556565e-13,1.02766987054358,0.582158765564792,2.46507211635986,156,"ENSG00000154134;ENSG00000198918;ENSG00000163584;ENSG00000136930;ENSG00000277791;ENSG00000112306;ENSG00000143947;ENSG00000265681;ENSG00000111196;ENSG00000177954;ENSG00000197958;ENSG00000167526;ENSG00000108298;ENSG00000150991;ENSG00000100316;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000100902;ENSG00000138326;ENSG00000124614;ENSG00000198034;ENSG00000130706;ENSG00000182774;ENSG00000171858;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000186468;ENSG00000172809;ENSG00000142541;ENSG00000163682;ENSG00000114391;ENSG00000103363;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000089157;ENSG00000241343;ENSG00000134419;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000110700;ENSG00000145592;ENSG00000168028;ENSG00000122406;ENSG00000213741;ENSG00000185627;ENSG00000197756;ENSG00000174444;ENSG00000108107;ENSG00000171863;ENSG00000083845;ENSG00000137818;ENSG00000008018;ENSG00000188846;ENSG00000105372;ENSG00000071082;ENSG00000131469;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000159377;ENSG00000129824;ENSG00000182899;ENSG00000087191;ENSG00000142507;ENSG00000156482;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000165916;ENSG00000106588;ENSG00000205937;ENSG00000140988;ENSG00000175166;ENSG00000099341;ENSG00000142534;ENSG00000221983;ENSG00000198242;ENSG00000125691;ENSG00000161970;ENSG00000149273;ENSG00000100387;ENSG00000103035;ENSG00000089009;ENSG00000141543;ENSG00000147403;ENSG00000041357;ENSG00000101182;ENSG00000185088"
"REACTOME","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",2.94049021670425e-15,4.61330242887378e-13,1.00731795687447,0.630685213550221,2.5576633534937,114,"ENSG00000198918;ENSG00000163584;ENSG00000112306;ENSG00000143947;ENSG00000265681;ENSG00000111196;ENSG00000177954;ENSG00000197958;ENSG00000167526;ENSG00000108298;ENSG00000100316;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000138326;ENSG00000124614;ENSG00000198034;ENSG00000182774;ENSG00000171858;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000186468;ENSG00000172809;ENSG00000142541;ENSG00000163682;ENSG00000114391;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000089157;ENSG00000241343;ENSG00000134419;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000149806;ENSG00000105568;ENSG00000233927;ENSG00000110700;ENSG00000145592;ENSG00000168028;ENSG00000122406;ENSG00000213741;ENSG00000197756;ENSG00000174444;ENSG00000108107;ENSG00000171863;ENSG00000083845;ENSG00000137818;ENSG00000188846;ENSG00000105372;ENSG00000071082;ENSG00000131469;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000129824;ENSG00000182899;ENSG00000156482;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000205937;ENSG00000140988;ENSG00000142534;ENSG00000221983;ENSG00000198242;ENSG00000125691;ENSG00000161970"
"REACTOME","REACTOME_RRNA_PROCESSING",2.22794627340364e-13,3.14586013804593e-11,0.943632225232838,0.511431692570566,2.24567010621599,210,"ENSG00000198918;ENSG00000163584;ENSG00000112306;ENSG00000143947;ENSG00000265681;ENSG00000177954;ENSG00000197958;ENSG00000167526;ENSG00000108298;ENSG00000100316;ENSG00000145425;ENSG00000144713;ENSG00000166441;ENSG00000278619;ENSG00000077348;ENSG00000138326;ENSG00000124614;ENSG00000198034;ENSG00000182774;ENSG00000171858;ENSG00000231500;ENSG00000130255;ENSG00000161016;ENSG00000241370;ENSG00000170889;ENSG00000115268;ENSG00000109475;ENSG00000186468;ENSG00000172809;ENSG00000152464;ENSG00000142541;ENSG00000163682;ENSG00000167112;ENSG00000114391;ENSG00000122026;ENSG00000063177;ENSG00000198755;ENSG00000105193;ENSG00000177600;ENSG00000089157;ENSG00000145912;ENSG00000100138;ENSG00000184967;ENSG00000227057;ENSG00000241343;ENSG00000134419;ENSG00000142676;ENSG00000142937;ENSG00000105640;ENSG00000163923;ENSG00000164587;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000110700;ENSG00000141456;ENSG00000145592;ENSG00000168028;ENSG00000122406;ENSG00000213741;ENSG00000105671;ENSG00000197756;ENSG00000174444;ENSG00000108107;ENSG00000171863;ENSG00000083845;ENSG00000211459;ENSG00000137818;ENSG00000188846;ENSG00000105372;ENSG00000071082;ENSG00000108592;ENSG00000130826;ENSG00000131469;ENSG00000008988;ENSG00000165502;ENSG00000162244;ENSG00000100890;ENSG00000100029;ENSG00000101361;ENSG00000129824;ENSG00000182899;ENSG00000007520;ENSG00000141076;ENSG00000072506;ENSG00000156990;ENSG00000156482;ENSG00000114767;ENSG00000147604;ENSG00000148303;ENSG00000197728;ENSG00000118181;ENSG00000140988;ENSG00000189306;ENSG00000142534;ENSG00000221983;ENSG00000198242;ENSG00000125691;ENSG00000161970;ENSG00000117597;ENSG00000109534;ENSG00000130713;ENSG00000105202;ENSG00000163684;ENSG00000149273;ENSG00000241945;ENSG00000006744;ENSG00000089009;ENSG00000147403;ENSG00000071462;ENSG00000261236;ENSG00000178718;ENSG00000185088;ENSG00000119616;ENSG00000183751;ENSG00000229117;ENSG00000160214;ENSG00000173113"
