"source","term_id","term_name","p_value","intersection_size","term_size","intersection"
"KEGG","KEGG:04141","Protein processing in endoplasmic reticulum",2.99930854803655e-11,16,160,"ENSG00000044574,ENSG00000089597,ENSG00000090520,ENSG00000099958,ENSG00000125844,ENSG00000127022,ENSG00000136731,ENSG00000143870,ENSG00000145495,ENSG00000149428,ENSG00000155660,ENSG00000163902,ENSG00000166598,ENSG00000167004,ENSG00000175197,ENSG00000179218"
"GO:CC","GO:0005788","endoplasmic reticulum lumen",1.78530736132583e-07,17,219,"ENSG00000044574,ENSG00000089597,ENSG00000090520,ENSG00000111186,ENSG00000127022,ENSG00000128228,ENSG00000136731,ENSG00000143870,ENSG00000145050,ENSG00000149428,ENSG00000155660,ENSG00000166598,ENSG00000167004,ENSG00000179218,ENSG00000196739,ENSG00000198363,ENSG00000254647"
"GO:CC","GO:0034663","endoplasmic reticulum chaperone complex",1.23060451592143e-06,6,9,"ENSG00000044574,ENSG00000090520,ENSG00000128228,ENSG00000143870,ENSG00000149428,ENSG00000166598"
"GO:CC","GO:0042470","melanosome",2.73960230849987e-06,12,103,"ENSG00000044574,ENSG00000089597,ENSG00000117394,ENSG00000127022,ENSG00000137474,ENSG00000137575,ENSG00000143870,ENSG00000155660,ENSG00000163902,ENSG00000166598,ENSG00000166900,ENSG00000167004"
"GO:CC","GO:0048770","pigment granule",2.73960230849987e-06,12,103,"ENSG00000044574,ENSG00000089597,ENSG00000117394,ENSG00000127022,ENSG00000137474,ENSG00000137575,ENSG00000143870,ENSG00000155660,ENSG00000163902,ENSG00000166598,ENSG00000166900,ENSG00000167004"
"GO:CC","GO:0140534","endoplasmic reticulum protein-containing complex",1.0151748338165e-05,12,115,"ENSG00000044574,ENSG00000089597,ENSG00000090520,ENSG00000128228,ENSG00000143870,ENSG00000145495,ENSG00000145626,ENSG00000149428,ENSG00000163902,ENSG00000166598,ENSG00000167004,ENSG00000179218"
"REAC","REAC:R-HSA-901042","Calnexin/calreticulin cycle",2.544414554319e-05,6,26,"ENSG00000089597,ENSG00000127022,ENSG00000136731,ENSG00000145495,ENSG00000167004,ENSG00000179218"
"GO:BP","GO:0034976","response to endoplasmic reticulum stress",0.000137846414575248,15,251,"ENSG00000044574,ENSG00000099958,ENSG00000127022,ENSG00000128228,ENSG00000143870,ENSG00000145050,ENSG00000145495,ENSG00000149428,ENSG00000152348,ENSG00000155660,ENSG00000161905,ENSG00000166598,ENSG00000167004,ENSG00000175197,ENSG00000179218"
"REAC","REAC:R-HSA-532668","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",0.000168681722410133,6,35,"ENSG00000089597,ENSG00000127022,ENSG00000136731,ENSG00000145495,ENSG00000167004,ENSG00000179218"
"REAC","REAC:R-HSA-381183","ATF6 (ATF6-alpha) activates chaperone genes",0.000238144045919213,4,9,"ENSG00000044574,ENSG00000166598,ENSG00000175197,ENSG00000179218"
"GO:CC","GO:0005783","endoplasmic reticulum",0.000309184264622475,37,1605,"ENSG00000044574,ENSG00000089597,ENSG00000090520,ENSG00000099958,ENSG00000108551,ENSG00000111186,ENSG00000111305,ENSG00000120992,ENSG00000125844,ENSG00000127022,ENSG00000128228,ENSG00000130703,ENSG00000135821,ENSG00000136731,ENSG00000137575,ENSG00000138029,ENSG00000139641,ENSG00000143870,ENSG00000145050,ENSG00000145284,ENSG00000145495,ENSG00000145626,ENSG00000149428,ENSG00000155660,ENSG00000163902,ENSG00000163932,ENSG00000166598,ENSG00000167004,ENSG00000171234,ENSG00000176438,ENSG00000179218,ENSG00000184164,ENSG00000189409,ENSG00000196739,ENSG00000198363,ENSG00000198843,ENSG00000254647"
"GO:BP","GO:0034975","protein folding in endoplasmic reticulum",0.000454016461175234,5,10,"ENSG00000044574,ENSG00000127022,ENSG00000166598,ENSG00000167004,ENSG00000179218"
"REAC","REAC:R-HSA-381033","ATF6 (ATF6-alpha) activates chaperones",0.000615675906444933,4,11,"ENSG00000044574,ENSG00000166598,ENSG00000175197,ENSG00000179218"
"GO:BP","GO:0006457","protein folding",0.00104099442554783,12,172,"ENSG00000044574,ENSG00000090520,ENSG00000108179,ENSG00000127022,ENSG00000136731,ENSG00000137168,ENSG00000143870,ENSG00000149428,ENSG00000155660,ENSG00000166598,ENSG00000167004,ENSG00000179218"
"GO:CC","GO:0016020","membrane",0.00208213044725884,87,6673,"ENSG00000021645,ENSG00000044574,ENSG00000050405,ENSG00000064309,ENSG00000070214,ENSG00000077713,ENSG00000082146,ENSG00000088367,ENSG00000088826,ENSG00000089597,ENSG00000090520,ENSG00000099940,ENSG00000099958,ENSG00000101347,ENSG00000101438,ENSG00000103742,ENSG00000103942,ENSG00000106868,ENSG00000108179,ENSG00000108551,ENSG00000108830,ENSG00000110536,ENSG00000111186,ENSG00000111305,ENSG00000112139,ENSG00000112759,ENSG00000117394,ENSG00000120217,ENSG00000120509,ENSG00000120992,ENSG00000124493,ENSG00000124831,ENSG00000125844,ENSG00000126767,ENSG00000127022,ENSG00000128228,ENSG00000129993,ENSG00000130703,ENSG00000134333,ENSG00000135821,ENSG00000137474,ENSG00000137575,ENSG00000138029,ENSG00000138759,ENSG00000139641,ENSG00000143036,ENSG00000143870,ENSG00000145284,ENSG00000145495,ENSG00000145626,ENSG00000148123,ENSG00000149428,ENSG00000152818,ENSG00000152910,ENSG00000155465,ENSG00000161905,ENSG00000163703,ENSG00000163902,ENSG00000163932,ENSG00000165272,ENSG00000165912,ENSG00000166598,ENSG00000166900,ENSG00000167004,ENSG00000167461,ENSG00000171234,ENSG00000171303,ENSG00000171314,ENSG00000173567,ENSG00000176438,ENSG00000179218,ENSG00000180979,ENSG00000183722,ENSG00000183831,ENSG00000189409,ENSG00000196932,ENSG00000196975,ENSG00000198363,ENSG00000198729,ENSG00000198843,ENSG00000205978,ENSG00000213853,ENSG00000214575,ENSG00000219438,ENSG00000237289,ENSG00000249715,ENSG00000254647"
"REAC","REAC:R-HSA-381119","Unfolded Protein Response (UPR)",0.00313882315219623,7,86,"ENSG00000044574,ENSG00000090520,ENSG00000143870,ENSG00000149428,ENSG00000166598,ENSG00000175197,ENSG00000179218"
"GO:CC","GO:0033018","sarcoplasmic reticulum lumen",0.0034110933401821,4,6,"ENSG00000145050,ENSG00000166598,ENSG00000179218,ENSG00000198363"
